slug,in_build,status,units,group,source
tamdhu-distillery,yes,operating (SWA),1,Ian Macleod,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
tamnavulin-distillery,yes,operating (SWA),1,Whyte & Mackay,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
tayport-distillery,yes,gin / other,0,residual,https://www.tayportdistillery.com/
teaninich-distllery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
the-borders-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
the-cabrach-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
the-cairn,no,operating (SWA),1,Gordon & MacPhail,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
the-glendronach-distillery,yes,operating (SWA),1,Brown-Forman,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
the-glenlivet,yes,operating (SWA),1,Pernod Ricard,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
the-glenturret-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
the-macallan-distillery,yes,operating (SWA),1,Edrington,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
the-machrihanish-distillery,yes,not yet producing,0,residual,https://machrihanishdistillery.com/
the-orkney-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
tobermory-distillery,yes,operating (SWA),1,CVH / Capevin,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
tomatin-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
tomintoul-distillery,no,operating (SWA),1,Angus Dundee,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
torabhaig,yes,operating (SWA),1,Mossburn,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
tormore-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
tullibardine-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
uile-bheist-distillery,no,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
wolfburn-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
