slug,in_build,status,units,group,source
bowmore-distillery,yes,operating (SWA),1,Suntory,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
braeval-distillery,yes,operating (SWA),1,Pernod Ricard,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
brora-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
bruichladdich-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
bunnahabhain-distillery,yes,operating (SWA),1,CVH / Capevin,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
burnobennie-distillery,no,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
cameronbridge-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
caol-ila-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
cardhu-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
city-of-aberdeen-distillery,yes,gin / other,0,residual,https://cityofaberdeendistillery.co.uk/
clydeside-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
clynelish-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
cragganmore-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
craigellachie,yes,operating (SWA),1,Bacardi,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
daftmill-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
dailuaine,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
dalmore-distillery,yes,operating (SWA),1,Whyte & Mackay,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
dalmunach-distillery,yes,operating (SWA),1,Pernod Ricard,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
dalwhinnie-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
deanston-distillery,yes,operating (SWA),1,CVH / Capevin,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
deerness-distillery,no,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
deeside-distillery,yes,gin / other,0,residual,https://lostlochspirits.com/
diageo-global-supply-centre,yes,"research / packaging, excluded",0,Diageo,https://www.diageo.com/en/our-brands/scotch-whisky
dornoch-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
dufftown-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
dunkeld-distillery,yes,not yet producing (unconfirmed),0,residual,https://dunkelddistillery.com/
dunphail-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
eden-mill-st-andrews,yes,commissioned; outside SWA list,1,residual,https://www.edenmill.com/blogs/distillery/we-are-now-operational
edradour-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
