type,country,name,name2,km,sim
stub,Poland,Q122158003,,,
stub,Poland,Q122172428,,,
stub,Poland,Q122177186,,,
stub,Poland,Q122177474,,,
stub,Poland,Q122177578,,,
stub,Poland,Q122195353,,,
stub,Poland,Q122195406,,,
stub,Poland,Q136243074,,,
stub,Poland,Q137485284,,,
stub,Poland,Q137485349,,,
stub,Poland,Q137996563,,,
stub,Poland,Q29965170,,,
stub,Poland,Q29965391,,,
stub,Poland,Q29975141,,,
stub,Poland,Q29975627,,,
stub,Poland,Q29975732,,,
stub,Poland,Q29976537,,,
stub,Poland,Q29976664,,,
stub,Poland,Q29976804,,,
stub,Poland,Q30037385,,,
stub,Poland,Q30037453,,,
stub,Poland,Q30037492,,,
stub,Poland,Q30038029,,,
stub,Poland,Q30038589,,,
stub,Poland,Q30041504,,,
stub,Poland,Q30041616,,,
stub,Poland,Q30041825,,,
stub,Poland,Q30045179,,,
stub,Poland,Q30070171,,,
stub,Poland,Q30072190,,,
stub,Poland,Q30073214,,,
stub,Poland,Q30078287,,,
stub,Poland,Q30078662,,,
stub,Poland,Q30078855,,,
stub,Poland,Q30079398,,,
stub,Poland,Q30089642,,,
stub,Poland,Q30090694,,,
stub,Poland,Q30092193,,,
stub,Poland,Q30092473,,,
stub,Poland,Q30097163,,,
stub,Poland,Q30097444,,,
stub,Poland,Q30099236,,,
stub,Poland,Q30100531,,,
stub,Poland,Q30102209,,,
stub,Poland,Q30103476,,,
stub,Poland,Q30103632,,,
stub,Poland,Q30103895,,,
stub,Poland,Q30104038,,,
stub,Poland,Q30104436,,,
stub,Poland,Q30106797,,,
stub,Poland,Q30135941,,,
stub,Poland,Q30136735,,,
stub,Poland,Q30136791,,,
stub,Poland,Q30143668,,,
stub,Poland,Q30215649,,,
stub,Poland,Q30231213,,,
stub,Poland,Q30232262,,,
stub,Poland,Q30244684,,,
stub,Poland,Q30531788,,,
stub,Poland,Q30536242,,,
stub,Poland,Q30552250,,,
stub,Poland,Q30572483,,,
stub,Poland,Q30582980,,,
stub,Poland,Q30583399,,,
stub,Poland,Q30779075,,,
stub,Poland,Q30954117,,,
stub,Poland,Q30955024,,,
stub,Poland,Q30961352,,,
stub,Poland,Q31107544,,,
stub,Poland,Q31107773,,,
stub,Poland,Q31108117,,,
stub,Poland,Q31108819,,,
stub,Poland,Q31110007,,,
stub,Poland,Q31125106,,,
stub,Poland,Q31132659,,,
stub,Poland,Q31804804,,,
stub,Poland,Q31860352,,,
stub,Poland,Q31862871,,,
stub,Poland,Q31864359,,,
stub,Poland,Q31867123,,,
stub,Poland,Q31874295,,,
stub,Poland,Q32022821,,,
stub,Poland,Q32038288,,,
stub,Poland,Q32137194,,,
stub,Poland,Q32144914,,,
stub,Poland,Q32146060,,,
stub,Poland,Q32262540,,,
stub,Poland,Q32264841,,,
stub,Poland,Q32265331,,,
stub,Poland,Q32267988,,,
stub,Poland,Q32270698,,,
stub,Poland,Q32982168,,,
stub,Poland,Q32998834,,,
stub,Poland,Q32999423,,,
stub,Poland,Q32999741,,,
stub,Poland,Q33000248,,,
stub,Poland,Q33000985,,,
stub,Poland,Q33001062,,,
stub,Poland,Q33007178,,,
stub,Poland,Q33008661,,,
stub,Poland,Q33009275,,,
stub,Poland,Q33013938,,,
stub,Poland,Q33014583,,,
stub,Poland,Q33083572,,,
stub,Poland,Q33083635,,,
stub,Poland,Q33083747,,,
stub,Poland,Q33083885,,,
stub,Poland,Q33086728,,,
stub,Poland,Q33088629,,,
stub,Poland,Q33089030,,,
stub,Poland,Q33090710,,,
stub,Poland,Q33092749,,,
stub,Poland,Q33092762,,,
stub,Poland,Q33092906,,,
stub,Poland,Q33092983,,,
stub,Poland,Q33135139,,,
stub,Poland,Q33135246,,,
stub,Poland,Q33135366,,,
stub,Poland,Q33136608,,,
stub,Poland,Q33137079,,,
stub,Poland,Q33137198,,,
stub,Poland,Q33143318,,,
stub,Poland,Q33236218,,,
stub,Poland,Q33255473,,,
stub,Poland,Q33305193,,,
stub,Poland,Q33310008,,,
stub,Poland,Q33402221,,,
stub,Poland,Q33419515,,,
stub,Poland,Q33421807,,,
stub,Poland,Q33473391,,,
stub,Poland,Q33484243,,,
stub,Poland,Q33507201,,,
stub,Poland,Q33508019,,,
stub,Poland,14 Parkowa Street in Świerklaniec,,,
stub,Poland,Distillery in Bąkowo,,,
stub,Poland,Distillery in Konin Gosławice,,,
stub,Poland,Distillery in Zalesie,,,
stub,Poland,Former distillery in Simoradz,,,
stub,Poland,Old distillery in Chruściechów,,,
stub,Poland,Old distillery in Irządze,,,
stub,Poland,Old distillery in Policzna,,,
stub,Slovakia,Q112093385,,,
stub,Slovakia,Q112094915,,,
stub,Slovakia,Q112098752,,,
stub,Slovakia,Q112103579,,,
stub,Slovakia,Q12776343,,,
stub,Spain,Q69698079,,,
stub,Spain,Cooperativa Alcoholera Mopesa factory,,,
stub,Spain,"Destillery at 24 San Ildefonso street, Utiel",,,
stub,Spain,Fassina,,,
stub,Spain,Fábrica de Aguardiente,,,
stub,Spain,Joaquín Vento destillery,,,
stub,Spain,Nave de la Cooperativa Campo de Tejada,,,
stub,United Kingdom,"Duty Free Wharehouse Number 1 and 2, Tormore Distillery",,,
stub,United Kingdom,"Edradour Distillery, Milton of Edradour",,,
stub,United Kingdom,Finnieston distillery,,,
stub,United Kingdom,"Haig's Distillery, Markinch",,,
stub,United Kingdom,Kimbland distillery,,,
stub,United Kingdom,Limavady Distillery,,,
stub,United States,Bomberger's Distillery,,,
stub,United States,Mount Rose Distillery,,,
historic,United States,Old Prentice Distillery,,,
historic,France,Chevalier de Villarçon distillery ruins,,,
historic,United States,Ye Old Grog Distillery,,,
historic,Germany,Old Gamundia Whisky,,,
historic,United States,Old Still,,,
historic,United States,Appalachian Heritage Distillery,,,
