slug,distillery_name,rank,score,company_num,company_name,status,type,reg_date,nace,last_accounts,address
dundalk-bay-brewery-distillery,Dundalk Bay Brewery & Distillery,3,0.97,542183,DUNDALK BAY TOURISM LIMITED,Normal,LTD - Private Company Limited by Shares,2014-04-07,,2024-01-31,"DROMISKIN, LOUTH, IRELAND"
crafted-spirits-distillery,Crafted Spirits Distillery,1,1.30,572896,CRAFTED SPIRITS LIMITED,Normal,LTD - Private Company Limited by Shares,2015-12-04,7490.0,2025-12-31,", Ireland"
crafted-spirits-distillery,Crafted Spirits Distillery,2,0.80,775145,CRAFTED EDGES LIMITED,Normal,LTD - Private Company Limited by Shares,2024-11-05,7022.0,2025-12-31,Dublin 15
crafted-spirits-distillery,Crafted Spirits Distillery,3,0.80,758294,J.A.M CRAFTED LIVING LIMITED,Normal,LTD - Private Company Limited by Shares,2024-02-23,6810.0,2025-02-28,"ARVA,CAVAN"
tullamaine-distillery,Tullamaine Distillery,1,1.80,621121,TULLAMAINE DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2018-02-16,1101.0,2026-03-31,"FETHARD,TIPPERARY"
tullamaine-distillery,Tullamaine Distillery,2,0.50,368448,TULLAMAINE HOMES LIMITED,Dissolved,LTD - Private Company Limited by Shares,2003-03-10,,2019-03-31,"FETHARD, TIPPERARY, IRELAND"
tullamaine-distillery,Tullamaine Distillery,3,0.50,107001,TULLAMAINE TRANSPORT LIMITED,Dissolved,Private limited by shares,1985-05-01,,,"CASHEL,TIPPERARY"
rebel-city-distillery,Rebel City Distillery,1,1.80,605220,REBEL CITY DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2017-05-30,1101.0,2026-05-31,"CO. CORK, CORK, IRELAND"
rebel-city-distillery,Rebel City Distillery,2,0.80,792292,REBEL CITY AUTO TRADERS LIMITED,Normal,LTD - Private Company Limited by Shares,2025-07-07,4511.0,,Cork
rebel-city-distillery,Rebel City Distillery,3,0.80,777881,C&S CITY LIMITED,Normal,LTD - Private Company Limited by Shares,2024-12-16,5610.0,,"Tuam Road,GALWAY"
burren-distillers,Burren Distillers,1,1.50,527647,BURREN DISTILLERS LIMITED,Normal,LTD - Private Company Limited by Shares,2013-05-16,,2024-12-31,"BALLYVAUGHAN, CLARE, Ireland"
burren-distillers,Burren Distillers,2,1.30,805293,BURREN FARM LIMITED,Normal,LTD - Private Company Limited by Shares,2026-01-07,9329.0,,"Tubber,CLARE"
burren-distillers,Burren Distillers,3,1.30,451386,BURREN HEAD LIMITED,Normal,LTD - Private Company Limited by Shares,2008-01-07,,2025-12-31,"Galway, Ireland"
beara-distillery-ltd,Beara Distillery Ltd,1,1.80,603421,BEARA DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2017-05-02,1101.0,2025-12-31,"CASTLETOWNBERE, CORK, IRELAND"
beara-distillery-ltd,Beara Distillery Ltd,2,1.00,39816,BEARA TRADING COMPANY LIMITED,Dissolved,Private,1972-12-19,,,DUBLIN
beara-distillery-ltd,Beara Distillery Ltd,3,1.00,282816,D.J.H. BEARA LIMITED,Dissolved,Private limited by shares,1998-03-30,,1999-03-31,"DUBLIN, Ireland"
1601-distillery,1601 Distillery,1,1.00,355985,THE 1601 BAR LIMITED,Dissolved,Private limited by shares,2002-04-22,,2003-12-31,"KINSALE, CORK, IRELAND"
1601-distillery,1601 Distillery,2,0.83,354071,1601 RED HUGH DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2002-03-04,,2024-12-31,"CO. CORK, CORK, IRELAND"
1601-distillery,1601 Distillery,3,0.55,584964,"GY AVIATION LEASE 1601 CO., LIMITED",Normal,LTD - Private Company Limited by Shares,2016-06-27,7735.0,2025-12-31,"George's Quay,Dublin 2"
irish-distillers-dungourney,Irish Distillers Dungourney,1,1.00,735203,DISTILLING AND IRISH SPIRITS TRADING  LIMITED,Normal,LTD - Private Company Limited by Shares,2023-02-17,4634.0,2025-12-31,"DUBLIN,Dublin 15"
irish-distillers-dungourney,Irish Distillers Dungourney,2,1.00,566097,CRAFT IRISH DISTILLING CO LIMITED,Normal,LTD - Private Company Limited by Shares,2015-08-06,7490.0,2023-12-31,"DUBLIN 2, DUBLIN, IRELAND"
irish-distillers-dungourney,Irish Distillers Dungourney,3,1.00,5121,IRISH DISTILLERS GROUP UNLIMITED COMPANY,Normal,ULC - Private Unlimited Company,1921-03-08,,2025-06-30,"BALLSBRIDGE,DUBLIN"
ahascragh-distillery,Ahascragh Distillery,1,1.50,630257,AHASCRAGH DISTILLERS  LIMITED,Normal,LTD - Private Company Limited by Shares,2018-07-13,4618.0,2024-12-31,"Ahascragh, GALWAY, Ireland"
ahascragh-distillery,Ahascragh Distillery,2,1.30,704206,AHASCRAGH SPIRITS LIMITED,Normal,LTD - Private Company Limited by Shares,2021-09-21,6420.0,2024-12-31,"BALLINASLOE,GALWAY"
ahascragh-distillery,Ahascragh Distillery,3,1.00,269972,L.C.M. (AHASCRAGH) LIMITED,Dissolved,Private limited by shares,1997-07-30,,2005-12-16,"BALLINASLOE,GALWAY"
dublin-liberties-distillery,The Dublin Liberties Distillery,1,1.30,519122,THE DUBLIN LIBERTIES WHISKEY COMPANY LIMITED,Normal,LTD - Private Company Limited by Shares,2012-10-22,,2024-12-31,"ABBEYLEIX, LAOIS, IRELAND"
dublin-liberties-distillery,The Dublin Liberties Distillery,2,1.00,546482,DUBLIN WHISKEY DISTILLERY COMPANY LIMITED,Normal,LTD - Private Company Limited by Shares,2014-07-09,,2024-06-30,"CLONTARF, DUBLIN, IRELAND"
dublin-liberties-distillery,The Dublin Liberties Distillery,3,0.80,781958,LIBERTIES PLANT CO LIMITED,Normal,LTD - Private Company Limited by Shares,2025-02-20,4618.0,2025-12-31,Dublin 8
lambay-whiskey,Lambay Whiskey,1,1.30,15588,LAMBAY ESTATE LIMITED,Normal,LTD - Private Company Limited by Shares,1955-03-31,,2024-12-31,"RUSH, DUBLIN"
lambay-whiskey,Lambay Whiskey,2,1.00,191899,LAMBAY TRADING LIMITED,Dissolved,Private limited by shares,1992-07-31,,,"DUBLIN 2, DUBLIN"
lambay-whiskey,Lambay Whiskey,3,0.85,597890,LAMBAY IRISH WHISKEY DESIGNATED ACTIVITY COMPANY,Normal,DAC - Designated Activity Company (limited by shares),2017-02-08,1101.0,2024-12-31,"CO. DUBLIN, DUBLIN, IRELAND"
listoke-distillery,Listoke Distillery & Gin School,1,1.30,575316,LISTOKE DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2016-01-18,1101.0,2022-12-31,",LOUTH"
listoke-distillery,Listoke Distillery & Gin School,2,0.80,822682,THE SCHOOL HOUSE CAFE LIMITED,Normal,LTD - Private Company Limited by Shares,2026-07-31,5610.0,,"Ferns,WEXFORD"
listoke-distillery,Listoke Distillery & Gin School,3,0.50,650217,WHISKEY SCHOOL LIMITED,Dissolved,LTD - Private Company Limited by Shares,2019-05-20,8559.0,,"CO. DUBLIN,DUBLIN"
ballyvolane-house-spirits,Ballyvolane House Spirits,1,1.30,754229,BALLYVOLANE FARM LIMITED,Normal,LTD - Private Company Limited by Shares,2023-12-15,150.0,2025-12-31,"CASTLELYONS,CORK"
ballyvolane-house-spirits,Ballyvolane House Spirits,2,1.30,645884,BALLYVOLANE HOUSE LIMITED,Normal,LTD - Private Company Limited by Shares,2019-03-14,5629.0,2024-12-31,"CASTLELYONS,CORK"
ballyvolane-house-spirits,Ballyvolane House Spirits,3,1.30,469476,BALLYVOLANE HOUSE SPIRITS COMPANY LIMITED,Normal,LTD - Private Company Limited by Shares,2009-04-06,,2025-04-30,"CASTLELYONS,CORK"
baoilleach-distillery,Baoilleach Distillery,1,1.60,644205,BAOILLEACH TEORANTA,Normal,LTD - Private Company Limited by Shares,2019-02-21,1101.0,2025-12-31,"CARRIGART, DONEGAL, IRELAND"
glendree-distillery,Glendree Distillery,1,1.00,362536,GLENDREE LIMITED,Dissolved,Private limited by shares,2002-10-11,,2006-06-30,"CO CLARE, CLARE, IRELAND"
