slug,distillery_name,rank,score,company_num,company_name,status,type,reg_date,nace,last_accounts,address
clonakilty-distillery,Clonakilty Distillery,1,1.80,574822,CLONAKILTY DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2016-01-08,1101.0,2024-12-31,"Clonakilty, CORK, Ireland"
clonakilty-distillery,Clonakilty Distillery,2,1.30,743575,BREWERY BAR CLONAKILTY LIMITED,Normal,LTD - Private Company Limited by Shares,2023-06-22,5630.0,2025-12-31,"Clonakilty,CORK"
clonakilty-distillery,Clonakilty Distillery,3,1.30,554991,CLONAKILTY BREWING COMPANY LIMITED,Normal,LTD - Private Company Limited by Shares,2014-12-19,,2021-12-31,"CLONAKILTY,CORK"
royal-oak-distillery,Royal Oak Distillery,1,1.50,308613,ROYAL OAK DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,1999-06-24,,2022-12-31,"CO. CARLOW, CARLOW, IRELAND"
royal-oak-distillery,Royal Oak Distillery,2,1.30,31340,THE ROYAL OAK LIMITED,Normal,LTD - Private Company Limited by Shares,1970-05-07,,2025-01-31,"TALLAGHT,DUBLIN"
royal-oak-distillery,Royal Oak Distillery,3,1.00,140405,OAK ROYAL HOLDINGS LIMITED,Dissolved,Private limited by shares,1989-02-16,,,"BANTEER, CORK"
powerscourt-distillery,Powerscourt Distillery,1,1.50,587065,POWERSCOURT DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2016-08-04,1105.0,2023-12-31,"ENNISKERRY,WICKLOW"
powerscourt-distillery,Powerscourt Distillery,2,1.30,546425,POWERSCOURT WHISKEY LIMITED,Normal,LTD - Private Company Limited by Shares,2014-07-08,,2025-12-31,"ENNISKERRY,WICKLOW"
powerscourt-distillery,Powerscourt Distillery,3,1.00,615410,POWERSCOURT DISTILLERY VC LIMITED,Normal,LTD - Private Company Limited by Shares,2017-11-16,5630.0,2023-12-31,"ENNISKERRY,WICKLOW"
slane-distillery,Slane Distillery,1,1.30,89587,SLANE TRADING COMPANY LIMITED,Normal,LTD - Private Company Limited by Shares,1982-05-28,,2025-03-31,"SLANE, MEATH"
slane-distillery,Slane Distillery,2,1.00,478031,J. J & S HOTEL (SLANE) LIMITED,Dissolved,Private limited by shares,2009-11-27,,,"BLACKROCK, DUBLIN, IRELAND"
slane-distillery,Slane Distillery,3,0.80,798016,BOYLES OF SLANE LIMITED,Normal,LTD - Private Company Limited by Shares,2025-09-22,5630.0,,"Sandycove,DUBLIN"
connacht-whiskey-company,Ballina Whiskey,1,1.30,91266,R.M.H. (BALLINA) LIMITED,Normal,LTD - Private Company Limited by Shares,1982-09-03,,2025-03-31,"CLONSILLA, DUBLIN"
connacht-whiskey-company,Ballina Whiskey,2,1.30,62037,J.B.J. (BALLINA) LIMITED,Normal,LTD - Private Company Limited by Shares,1978-03-23,,2025-02-28,"BALLINA, MAYO"
connacht-whiskey-company,Ballina Whiskey,3,1.00,208972,C & N BALLINA LIMITED,Dissolved,LTD - Private Company Limited by Shares,1993-11-05,,2016-01-08,"CLAREMORRIS, MAYO"
glendalough-distillery,Glendalough Distillery,1,1.00,477755,GLENDALOUGH BREWERIES LIMITED,Dissolved,LTD - Private Company Limited by Shares,2009-11-20,,2015-12-31,"CO. DUBLIN, DUBLIN, IRELAND"
glendalough-distillery,Glendalough Distillery,2,0.80,725875,GLENDALOUGH ADVENTURES LIMITED,Normal,LTD - Private Company Limited by Shares,2022-09-13,5520.0,2025-04-30,"Glendalough, WICKLOW, Ireland"
glendalough-distillery,Glendalough Distillery,3,0.80,624683,GLENDALOUGH GLAMPING LIMITED,Normal,LTD - Private Company Limited by Shares,2018-04-16,5530.0,2025-02-28,"LARAGH, WICKLOW, IRELAND"
hawks-rock-distillery,Hawk's Rock Distillery,1,0.80,730760,T-ROCK HOLDINGS LIMITED,Normal,LTD - Private Company Limited by Shares,2022-12-05,4110.0,,"Clonskeagh,Dublin 4"
hawks-rock-distillery,Hawk's Rock Distillery,2,0.50,690086,ROCK X LIMITED,Dissolved,LTD - Private Company Limited by Shares,2021-03-10,5829.0,2022-04-30,Dublin 7
hawks-rock-distillery,Hawk's Rock Distillery,3,0.50,622829,ROCK UP LIMITED,Dissolved,LTD - Private Company Limited by Shares,2018-03-15,6399.0,,"DUBLIN 5, DUBLIN, IRELAND"
boann-distillery,Boann Distillery,1,1.50,540129,Boann Distillery LIMITED,Normal,LTD - Private Company Limited by Shares,2014-02-25,,2025-06-30,"CO. MEATH.,MEATH"
boann-distillery,Boann Distillery,2,1.00,401937,BOANN LIMITED,Dissolved,LTD - Private Company Limited by Shares,2005-05-10,,2017-03-31,"DONABATE, DUBLIN"
boann-distillery,Boann Distillery,3,0.80,810486,BOANN CONSULTING LIMITED,Normal,LTD - Private Company Limited by Shares,2026-03-11,7022.0,,"Drogheda,LOUTH"
ballykeefe-distillery,Ballykeefe Distillery,1,1.80,563718,BALLYKEEFE DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2015-06-26,1101.0,2024-12-31,"CO. KILKENNY,KILKENNY"
ballykeefe-distillery,Ballykeefe Distillery,2,0.50,336632,BALLYKEEFE RACEFIELD MANAGEMENT COMPANY COMPANY LIMITED BY GUARANTEE,Normal,CLG - Company Limited by Guarantee,2000-12-15,,2025-12-31,"9 LOWER CECIL STREET, LIMERICK, Ireland"
belfast-distillery,Belfast Distillery,1,0.80,676400,OILBHE BELFAST LIMITED,Normal,LTD - Private Company Limited by Shares,2020-08-25,4791.0,2025-02-25,"DUBLIN 6, DUBLIN, IRELAND"
belfast-distillery,Belfast Distillery,2,0.70,492695,BELFAST DISTILLERY IRELAND LIMITED,Dissolved,LTD - Private Company Limited by Shares,2010-12-14,,2016-12-31,"MALIN, DONEGAL, IRELAND"
belfast-distillery,Belfast Distillery,3,0.63,910536,Belfast Commercial Funding (I) Limited,Normal,External company,2026-03-11,,,",LOUTH"
blacks-brewery-distillery,Blacks Brewery & Distillery,1,0.80,40411,BLACKS (PRINTERS) LIMITED,Normal,LTD - Private Company Limited by Shares,1973-02-06,,2024-12-31,"Cavan, Ireland"
blacks-brewery-distillery,Blacks Brewery & Distillery,2,0.50,95960,BLACKS (CAVAN) LIMITED,Liquidation,CLG - Company Limited by Guarantee,1983-07-26,,2020-12-31,"CO. CAVAN, CAVAN, Ireland"
blacks-brewery-distillery,Blacks Brewery & Distillery,3,0.50,600488,SOLLY BLACK'S LIMITED,Liquidation,LTD - Private Company Limited by Shares,2017-03-15,5510.0,2021-12-31,"DUBLIN, Dublin 2, Ireland"
blackwater-distillery,Blackwater Distillery,1,1.50,543070,BLACKWATER DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2014-04-28,,2024-12-31,"Ballyduff, WATERFORD, Ireland"
blackwater-distillery,Blackwater Distillery,2,1.30,495402,BLACKWATER BAR LIMITED,Normal,LTD - Private Company Limited by Shares,2011-02-24,,2024-12-31,"VIRGINIA, CAVAN, IRELAND"
blackwater-distillery,Blackwater Distillery,3,1.30,409540,BLACKWATER FARM LIMITED,Normal,LTD - Private Company Limited by Shares,2005-10-17,,2024-12-31,"ADARE,LIMERICK"
cape-clear-distillery,Cape Clear Distillery,1,1.00,370554,CAPE CLEAR HOLDINGS LIMITED,Dissolved,Private limited by shares,2003-05-01,,2008-08-31,"DUBLIN, IRELAND"
cape-clear-distillery,Cape Clear Distillery,2,0.97,795660,CADOGAN CAPE CLEAR LIMITED,Normal,LTD - Private Company Limited by Shares,2025-08-21,4120.0,,"Skibbereen,CORK"
cape-clear-distillery,Cape Clear Distillery,3,0.97,628442,CAPE CLEAR COATINGS LIMITED,Normal,LTD - Private Company Limited by Shares,2018-06-13,4299.0,2026-06-30,"DUBLIN, Dublin 6, Ireland"
cooley-distillery,Cooley Distillery,1,1.50,125363,COOLEY DISTILLERY UNLIMITED COMPANY,Normal,ULC - Private Unlimited Company,1987-09-30,,2024-12-31,"DUNDALK, LOUTH"
cooley-distillery,Cooley Distillery,2,1.00,772978,E COOLEY LIMITED,Dissolved,LTD - Private Company Limited by Shares,2024-10-01,7490.0,2024-12-31,"MALLOW,CORK"
cooley-distillery,Cooley Distillery,3,1.00,244206,COOLEY GROUP,Dissolved,Private unlimited with share capital,1996-02-02,,,DUBLIN
great-northern-distillery,Great Northern Distillery,1,1.50,240181,GREAT NORTHERN DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,1995-10-31,,2025-04-30,"DUBLIN 3, DUBLIN"
great-northern-distillery,Great Northern Distillery,2,1.17,541114,GREAT NORTHERN DISTILLERY (NOMINEE) LIMITED,Normal,LTD - Private Company Limited by Shares,2014-03-14,,2024-12-31,"CLONTARF, DUBLIN, IRELAND"
great-northern-distillery,Great Northern Distillery,3,1.00,34117,GREAT NORTHERN HOTEL GROUP LIMITED,Dissolved,Unknown,,,,********NO ADDRESS DETAILS*******
lough-mask-distillery,Lough Mask Distillery,1,1.00,18072,LOUGH MASK TRUST COMPANY LIMITED,Dissolved,Private,1960-03-16,,,"DUBLIN, Ireland"
lough-mask-distillery,Lough Mask Distillery,2,0.80,705058,THE LOUGH CAFE LIMITED,Normal,LTD - Private Company Limited by Shares,2021-10-01,5610.0,2025-12-31,Cork
lough-mask-distillery,Lough Mask Distillery,3,0.50,54313,LOUGH (PLANT) LIMITED,Dissolved,Private,1976-02-20,,,CORK
lough-ree-distillery,Lough Ree Distillery,1,1.30,769288,LOUGH REE TOURS LIMITED,Normal,LTD - Private Company Limited by Shares,2024-08-07,5010.0,2025-07-31,"Athlone,ROSCOMMON"
lough-ree-distillery,Lough Ree Distillery,2,1.30,510804,LOUGH REE FARMS LIMITED,Normal,LTD - Private Company Limited by Shares,2012-03-14,,2025-12-31,"ATHLONE,WESTMEATH"
lough-ree-distillery,Lough Ree Distillery,3,0.97,815650,LOUGH REE CONSTRUCTION LIMITED,Normal,LTD - Private Company Limited by Shares,2026-05-14,4120.0,,"LANESBOROUGH,LONGFORD"
rademon-estate-distillery,Rademon Estate Distillery,1,1.00,635539,RADEMON ESTATE DISTILLERY IRELAND LIMITED,Dissolved,LTD - Private Company Limited by Shares,2018-10-10,1101.0,2023-12-31,DUBLIN 18
scotts-irish-distillery,Scotts Irish Distillery,1,1.00,735203,DISTILLING AND IRISH SPIRITS TRADING  LIMITED,Normal,LTD - Private Company Limited by Shares,2023-02-17,4634.0,2025-12-31,"DUBLIN,Dublin 15"
scotts-irish-distillery,Scotts Irish Distillery,2,1.00,566097,CRAFT IRISH DISTILLING CO LIMITED,Normal,LTD - Private Company Limited by Shares,2015-08-06,7490.0,2023-12-31,"DUBLIN 2, DUBLIN, IRELAND"
scotts-irish-distillery,Scotts Irish Distillery,3,1.00,5121,IRISH DISTILLERS GROUP UNLIMITED COMPANY,Normal,ULC - Private Unlimited Company,1921-03-08,,2025-06-30,"BALLSBRIDGE,DUBLIN"
skellig-six18-distillery,Skellig Six18 Distillery,1,1.00,589603,SKELLIG DISTILLERS LIMITED,Normal,LTD - Private Company Limited by Shares,2016-09-19,5629.0,2024-12-31,"CO. KERRY.,KERRY"
sliabh-liag-distillery,Sliabh Liag Distillers Bottling & Administration Centre,1,0.80,780737,SLIABH LIAG TOURS LIMITED,Normal,LTD - Private Company Limited by Shares,2025-01-31,4931.0,2025-10-31,"Teelin,DONEGAL"
sliabh-liag-distillery,Sliabh Liag Distillers Bottling & Administration Centre,2,0.70,790829,SLIABH LIAG RENTALS LIMITED,Normal,LTD - Private Company Limited by Shares,2025-06-17,5520.0,,"Letterkenny,DONEGAL"
sliabh-liag-distillery,Sliabh Liag Distillers Bottling & Administration Centre,3,0.70,766531,SLIABH LIAG SAUNAS LIMITED,Normal,LTD - Private Company Limited by Shares,2024-06-24,8299.0,2025-12-24,"Kilcar,DONEGAL"
the-quiet-man-distillery,The Quiet Man Distillery,1,0.80,705624,THE QUIET FARM LIMITED,Normal,LTD - Private Company Limited by Shares,2021-10-08,5911.0,2025-12-31,"Aglish, Cappoquin, WATERFORD, Ireland"
the-quiet-man-distillery,The Quiet Man Distillery,2,0.50,440809,V-MAN PLANT LIMITED,Dissolved,Private limited by shares,2007-06-06,,2008-11-30,"BALLYMORE EUSTACE, KILDARE, IRELAND"
the-quiet-man-distillery,The Quiet Man Distillery,3,0.50,345301,QUIET MAN COUNTRY PROMOTIONS LIMITED,Dissolved,Private limited by shares,2001-07-09,,,"BALLINA,MAYO"
tipperary-distillery,Tipperary Distillery,1,1.50,549257,TIPPERARY BOUTIQUE DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2014-09-08,,2024-12-31,"CLONMEL,TIPPERARY"
tipperary-distillery,Tipperary Distillery,2,1.30,537948,TIPPERARY HOUSE LIMITED,Normal,LTD - Private Company Limited by Shares,2014-01-15,,2025-12-31,"DUBLIN 8, DUBLIN, IRELAND"
tipperary-distillery,Tipperary Distillery,3,1.20,49158,TIPPERARY DISTILLERS LIMITED,Dissolved,Private,1974-09-20,,,********NO ADDRESS DETAILS*******
walsh-whiskey-distillery,Walsh Whiskey Distillery,1,1.30,784170,D & D WALSH FARM LIMITED,Normal,LTD - Private Company Limited by Shares,2025-03-14,150.0,,"TULLAMORE,OFFALY"
walsh-whiskey-distillery,Walsh Whiskey Distillery,2,1.30,719899,C & C WALSH HOLDINGS LIMITED,Normal,LTD - Private Company Limited by Shares,2022-05-25,6420.0,2025-04-30,"Dundalk,LOUTH"
walsh-whiskey-distillery,Walsh Whiskey Distillery,3,1.30,705806,A&E WALSH HOLDINGS LIMITED,Normal,LTD - Private Company Limited by Shares,2021-10-11,6420.0,2024-12-31,"Castleisland,KERRY"
wayward-irish-distillery,Wayward Irish Distillery,1,1.00,735203,DISTILLING AND IRISH SPIRITS TRADING  LIMITED,Normal,LTD - Private Company Limited by Shares,2023-02-17,4634.0,2025-12-31,"DUBLIN,Dublin 15"
wayward-irish-distillery,Wayward Irish Distillery,2,1.00,566097,CRAFT IRISH DISTILLING CO LIMITED,Normal,LTD - Private Company Limited by Shares,2015-08-06,7490.0,2023-12-31,"DUBLIN 2, DUBLIN, IRELAND"
wayward-irish-distillery,Wayward Irish Distillery,3,1.00,5121,IRISH DISTILLERS GROUP UNLIMITED COMPANY,Normal,ULC - Private Unlimited Company,1921-03-08,,2025-06-30,"BALLSBRIDGE,DUBLIN"
