slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
destillerie-weidenauer-e-u,Destillerie Weidenauer e.U.,Austria,at-firmenbuch,FN 383289 k,Destillerie Weidenauer e.U.,self,oenace-1101-list,high,,https://justizonline.gv.at/jop/web/firmenbuchabfrage/suchergebnis?search=383289k,"name jaccard 1.00; Firmenbuch status ACTIVE; Sitz Kottes-Purk (city agrees); OENACE 11.01 = Herstellung von Spirituosen; JustizOnline free search, legal form from the name"
karl-walter-hollberg-brennerei-inhaber-daniel-walter-e-k,"Karl Walter, Höllberg-Brennerei Inhaber Daniel Walter e.K.",Germany,de-offeneregister,Freiburg HRA 490146,"Karl Walter, Höllberg-Brennerei  Inhaber: Daniel Walter e. K.",self,offeneregister-bulk-name,high,,https://opencorporates.com/companies/de/B1204_HRA490146,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2018-07-27 (2017-2019 snapshot, not current); Freiburg HRA 490146; registered office Oberkirch (city agrees); address n/a"
bavarian-moonshine-gmbh,Bavarian Moonshine GmbH,Germany,de-offeneregister,München HRB 216664,Bavarian Moonshine GmbH,self,offeneregister-bulk-name,high,,https://opencorporates.com/companies/de/D2601V_HRB216664,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2019-01-31 (2017-2019 snapshot, not current); München HRB 216664; registered office Eichenau (city agrees); address Brucker Straße 1 b, 82223 Eichenau."
gustav-mayer-brennerei,GUSTAV MAYER Brennerei,Germany,de-offeneregister,Ingolstadt HRA 360,Gustav Mayer,self,offeneregister-bulk-name,high,,https://opencorporates.com/companies/de/D5701V_HRA360,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2018-06-19 (2017-2019 snapshot, not current); Ingolstadt HRA 360; registered office Eichstätt (city agrees); address n/a"
brennerei-ziegler,Brennerei Ziegler,Germany,de-offeneregister,Weiden i. d. OPf. HRA 447,Ziegler Brauerei,self,offeneregister-bulk-name,medium,,https://opencorporates.com/companies/de/D3508V_HRA447,"name jaccard 1.00; OffeneRegister status 'removed' as of 2018-06-19 (2017-2019 snapshot, not current); Weiden i. d. OPf. HRA 447; registered office n/a; address n/a"
black-sheep-destillerie,Black Sheep Destillerie,Germany,de-offeneregister,Stuttgart HRA 723853,black sheep e.K.,self,offeneregister-bulk-name,low,,https://opencorporates.com/companies/de/B8534_HRA723853,"name jaccard 1.00; OffeneRegister status 'removed' as of 2017-07-22 (2017-2019 snapshot, not current); Stuttgart HRA 723853; registered office Heilbronn; address Löwensteiner Straße 6, 74074 Heilbronn."
destillerie-gowein-gmbh-co-kg,Destillerie Gößwein GmbH & Co. KG,Germany,de-offeneregister,Würzburg HRA 7102,Destillerie Gößwein GmbH & Co. KG,self,offeneregister-bulk-name,high,,https://opencorporates.com/companies/de/D4708V_HRA7102,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2018-06-23 (2017-2019 snapshot, not current); Würzburg HRA 7102; registered office Thüngersheim (city agrees); address Günterslebener Str."
rhon-hessische-weinbrennerei-a-u-w-dworzak-gmbh-co-kg,Rhön-Hessische Weinbrennerei A. u. W. Dworzak GmbH & Co KG,Germany,de-offeneregister,Fulda HRA 902,Rhön-Hessische Weinbrennerei A. u. W. Dworzak GmbH & Co Kommanditgesellschaft,self,offeneregister-bulk-name,high,,https://opencorporates.com/companies/de/M1301_HRA902,"name jaccard 0.80; OffeneRegister status 'currently registered' as of 2018-06-19 (2017-2019 snapshot, not current); Fulda HRA 902; registered office Fulda (city agrees); address n/a"
o-donnell-moonshine,O'Donnell Moonshine,Germany,de-offeneregister,Berlin (Charlottenburg) HRB 172287,O'Donnell Moonshine GmbH,self,offeneregister-bulk-name,medium,,https://opencorporates.com/companies/de/F1103R_HRB172287,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2018-11-02 (2017-2019 snapshot, not current); Berlin (Charlottenburg) HRB 172287; registered office Berlin; address Weserstraße 184, 12045 Berlin"
schlichte-brennerei,Schlichte Brennerei,Germany,de-offeneregister,Münster HRB 12037,Schwarze und Schlichte GmbH,operator,hand,high,,https://offeneregister.de/,"Schlichte Steinhäger (Steinhagen) is a Schwarze & Schlichte brand; group company at Paulsburg 1-3, 59302 Oelde, 'currently registered' in the OffeneRegister snapshot (2018)"
