slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
distilleries-dyc-beam-spain-s-l,"Distilleries DYC - Beam Spain, S.L.",Spain,es-rgseaa,30.04457/SG,"BEAM SUNTORY SPAIN, S.L.",self,rgseaa-bulk-name,low,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 0.50; RGSEAA key 30 bebidas alcoholicas; establishment CALLE FRESNO 1, Segovia (Castilla y León) (province agrees); list dated 1 Sep 2026; no NIF in the list"
gin-mallorca-destileria-pareis,Gin Mallorca Destileria Pareis,Spain,es-rgseaa,30.014999/IB,"MALLORCA DISTILLERY, SL",self,rgseaa-bulk-name,low,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 0.50; RGSEAA key 30 bebidas alcoholicas; establishment GREMI SUCRES I CANDELERS, 20, NAU 4, Illes Balears (Illes Balears) (province agrees); list dated 1 Sep 2026; no NIF in the list"
gin-mallorca-destileria-pareis,Gin Mallorca Destileria Pareis,Spain,es-rgseaa,30.03196/PM,"BODEGAS Y DESTILERIAS DE MALLORCA, S.A.",self,rgseaa-bulk-name,low,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 0.50; RGSEAA key 30 bebidas alcoholicas; establishment CMNO CABANA Nave 12 PONT D'INCA, Illes Balears (Illes Balears) (province agrees); list dated 1 Sep 2026; no NIF in the list"
world-wide-distillers,World Wide Distillers,Spain,es-rgseaa,30.017244/M,"DINSA WORLD WIDE DISTILLERS, S.A.",self,rgseaa-bulk-name,high,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 0.75; RGSEAA key 30 bebidas alcoholicas; establishment CL. DE HINOJOSA DEL DUQUE Nº 21 P.I. ALBARREJA, Madrid (Comunidad de Madrid) (province agrees); list dated 1 Sep 2026; no NIF in the list"
destilerias-san-valero-s-coop,Destilerias San Valero S. Coop.,Spain,es-rgseaa,30.10598/Z,"BODEGAS SAN VALERO, SOCIEDAD COOPERATIVA",self,rgseaa-bulk-name,medium,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment Calle CTRA. A- 220, KM 24, Zaragoza (Aragón); list dated 1 Sep 2026; no NIF in the list"
destilerias-san-valero-s-coop,Destilerias San Valero S. Coop.,Spain,es-rgseaa,30.01223/Z,"BODEGAS SAN VALERO, SOCIEDAD COOPERATIVA",self,rgseaa-bulk-name,medium,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment Carretera N-330, KM 450, Zaragoza (Aragón); list dated 1 Sep 2026; no NIF in the list"
destilerias-de-galicia-s-a,Destilerias de Galicia S.A.,Spain,es-rgseaa,30.05073/OR,"DESTILERIAS DE GALICIA, S.A.",self,rgseaa-bulk-name,high,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment A POBRA, Nº 43, Ourense (Galicia) (province agrees); list dated 1 Sep 2026; no NIF in the list"
destilerias-de-galicia-s-a,Destilerias de Galicia S.A.,Spain,es-rgseaa,30.012912/OU,ALCOHOLES GALICIA S.L,self,rgseaa-bulk-name,medium,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment POLIGONO INDUSTRIAL C/3, NUM. 10, Ourense (Galicia) (province agrees); list dated 1 Sep 2026; no NIF in the list"
agro-grape-distillery-s-l,"Agro Grape Distillery, S.L.",Spain,es-rgseaa,30.015534/TF,"Agro Grape Distillery, SL",self,rgseaa-bulk-name,high,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment Vía Espaldón, 5. Dársena Pesquera, Santa Cruz de Tenerife (Canarias) (province agrees); list dated 1 Sep 2026; no NIF in the list"
la-destileria-1888,La Destileria 1888,Spain,es-rgseaa,30.017693/PO,"DESTILERIAS OVALLE 1888, S.L.",self,rgseaa-bulk-name,low,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 0.50; RGSEAA key 30 bebidas alcoholicas; establishment AVDA. EUROPA, 147, PARQUE EMPRESARIAL NANTES, Pontevedra (Galicia) (province agrees); list dated 1 Sep 2026; no NIF in the list"
