slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
junction-56-distillery,Junction 56 Distillery,Canada,on-agco,MFD1433448,Junction 56 Distillery Ltd.,self,agco-licence-name,high,,https://www.agco.ca/sites/default/files/opendata/OpenDataManufacturersLicences_En.csv,"Manufacturer's Licence - Distillery; status Active; premises 'JUNCTION 56 DISTILLERY LTD.', 45 CAMBRIA ST, STRATFORD; issued 2025-03-25, expires 2029-03-24"
king-s-lock-craft-distillery,King's Lock Craft Distillery,Canada,on-agco,MFD75734,King's Lock Craft Distillery Inc.,self,agco-licence-name,high,,https://www.agco.ca/sites/default/files/opendata/OpenDataManufacturersLicences_En.csv,"Manufacturer's Licence - Distillery; status Active; premises 'King's Lock Craft Distillery', 5 NEWPORT DRIVE, JOHNSTOWN; issued 2025-10-20, expires 2027-09-23"
kootenay-west-distilling,Kootenay West Distilling,Canada,bc-lcrb,310028,"Hodgson, Ashley & Hodgson, Thomas",self,lcrb-establishment-name,high,,https://catalogue.data.gov.bc.ca/dataset/licensed-establishments-in-b-c,"Manufacturer - Distillery; establishment 'Kootenay West Distilling', 1180 Cedar Ave, TRAIL (city agrees); name jaccard 1.00"
la-maison-nokomis-inc,La Maison Nokomis inc.,Canada,qc-racj,DI085,DOMAINE NOKOMIS INC.,self,racj-permit-name,medium,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"Distillateur; establishment 248, CHEMIN DESAULNIERS, STOKE; NEQ 1172676117"
la-manufacture-distillery,La Manufacture distillery,Canada,qc-racj,DI084,DISTILLERIE LA MANUFACTURE INC.,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"Distillateur; establishment 195, RUE BRISSETTE LOCAL 26, SAINTE-AGATHE-DES-MONTS; NEQ 1172964174"
last-straw-distillery,Last Straw Distillery,Canada,on-agco,MFD70750,Last Straw Distillery Corp.,self,agco-licence-name,high,,https://www.agco.ca/sites/default/files/opendata/OpenDataManufacturersLicences_En.csv,"Manufacturer's Licence - Distillery; status Active; premises 'LAST STRAW DISTILLERY', 40 PIPPIN RD UNIT 9, CONCORD; issued 2024-01-08, expires 2027-10-12"
legend-spirits-company,Legend Spirits Company,Canada,on-agco,MFD1232983,Legend Spirits Company Ltd.,self,agco-licence-name,high,,https://www.agco.ca/sites/default/files/opendata/OpenDataManufacturersLicences_En.csv,"Manufacturer's Licence - Distillery; status Active; premises 'Legend Spirits Company', 7 GREAT NORTH RD, PARRY SOUND; issued 2026-05-11, expires 2028-04-07"
les-distilleries-sazerac-du-canada,Les Distilleries Sazerac du Canada,Canada,qc-racj,DI011,LES DISTILLERIES SAZERAC DU CANADA INC.,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"Distillateur; establishment 950, CHEMIN DES MOULINS, MONTRÉAL; NEQ 1181672883"
long-table-distillery,Long Table Distillery,Canada,bc-lcrb,305233,LONG TABLE DISTILLERY LTD.,self,lcrb-establishment-name,high,,https://catalogue.data.gov.bc.ca/dataset/licensed-establishments-in-b-c,"Manufacturer - Distillery; establishment 'Long Table Distillery', 1451 Hornby Street, VANCOUVER (city agrees); name jaccard 1.00"
luckhurst-farm-distillery,Luckhurst Farm & Distillery,Canada,bc-lcrb,308455,JOE HENDRIE HOLDINGS INC.,self,lcrb-establishment-name,high,,https://catalogue.data.gov.bc.ca/dataset/licensed-establishments-in-b-c,"Manufacturer - Distillery; establishment 'Luckhurst Farm and Distillery', 4275 Goodison Rd, Kelowna (city agrees); name jaccard 1.00"
