slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
distillerie-des-marigots,Distillerie des Marigots,Canada,qc-req,1174414038,DISTILLERIE DES MARIGOTS,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI082 (Distillateur) in force, CAPLAN (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
distillerie-du-fjord,Distillerie du Fjord,Canada,qc-req,1171962815,DISTILLERIE DU FJORD,self,racj-permit-name,medium,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI044 (Distillateur) in force, SAINT-DAVID-DE-FALARDEAU (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
distillerie-grand-derangement,Distillerie Grand Dérangement,Canada,qc-req,1173218844,DISTILLERIE GRAND DÉRANGEMENT,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI083 (Distillateur) in force, SAINT-JACQUES (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
distillerie-lore-legends,Distillerie Lore & Legends,Canada,qc-req,1172785363,DISTILLERIE LORE & LEGENDS,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI081 (Distillateur) in force, LÉVIS (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
distillerie-mitis,Distillerie Mitis,Canada,qc-req,1172205768,DISTILLERIE MITIS,self,racj-permit-name,medium,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI070 (Distillateur) in force, MONT-JOLI (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
distillerie-quebec-north-shore,Distillerie Québec North Shore,Canada,corporations-canada,11741292,LA DISTILLERIE QUÉBEC NORTH SHORE DISTILLERY INC.,self,federal-bulk-name,high,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"name jaccard 1.00; status Active; CBCA; registered office Chute-aux-Outardes, QC (city agrees); BN 760831339; last annual filing 2025"
distillerie-quebec-north-shore,Distillerie Québec North Shore,Canada,qc-req,1175017160,LA DISTILLERIE QUÉBEC NORTH SHORE DISTILLERY,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI107 (Distillateur) in force, CHUTE-AUX-OUTARDES (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
distillerie-rheault-distillery,Distillerie Rheault Distillery,Canada,on-obr,1490290,1490290 Ontario Inc.,operator,agco-licence-name,high,,https://www.ontario.ca/page/ontario-business-registry,"legal entity from AGCO licence MFD66476 (Manufacturer's Licence - Distillery, Active, premises 'RHEAULT DISTILLERIES', HEARST (city agrees)); name jaccard 1.00; OBR number = Ontario numbered-company name"
distillerie-shefford,Distillerie Shefford,Canada,qc-req,1180414725,DISTILLERIE SHEFFORD,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit AS002 (Production artisanale d’alcools et spiritueux) in force, SHEFFORD (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
distillerie-stadacone,Distillerie Stadaconé,Canada,corporations-canada,11102729,Distillerie Stadaconé inc.,self,federal-bulk-name,high,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"name jaccard 1.00; status Active; CBCA; registered office Québec, QC (city agrees); BN 725259881; last annual filing 2025"
