item,itemLabel,org,orgLabel,ch,oc,countryLabel,coord
http://www.wikidata.org/entity/Q1531018,Glenlossie,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-3.3183 57.5989)
http://www.wikidata.org/entity/Q983051,Strathisla distillery,http://www.wikidata.org/entity/Q837049,Pernod Ricard,,fr/582041943,United Kingdom,Point(-2.95493 57.5467)
http://www.wikidata.org/entity/Q14325532,Fuji Gotemba distillery,http://www.wikidata.org/entity/Q11297739,Kirin Distillery,,jp/8080101004397,Japan,Point(138.934444444 35.308611111)
http://www.wikidata.org/entity/Q3312688,New Midleton Distillery,http://www.wikidata.org/entity/Q837049,Pernod Ricard,,fr/582041943,Ireland,Point(-8.169485 51.91311)
http://www.wikidata.org/entity/Q362391,Mannochmore distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-3.31944 57.6003)
http://www.wikidata.org/entity/Q319639,Aberlour distillery,http://www.wikidata.org/entity/Q837049,Pernod Ricard,,fr/582041943,United Kingdom,Point(-3.23 57.467222)
http://www.wikidata.org/entity/Q982716,Scapa distillery,http://www.wikidata.org/entity/Q837049,Pernod Ricard,,fr/582041943,United Kingdom,Point(-2.984975 58.963666666)
http://www.wikidata.org/entity/Q85797673,Roe & Co Distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,Ireland,Point(-6.284111111 53.344027777)
http://www.wikidata.org/entity/Q137945862,Port Dundas Distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-4.25604 55.87231)
http://www.wikidata.org/entity/Q982683,Glen Grant distillery,http://www.wikidata.org/entity/Q837049,Pernod Ricard,,fr/582041943,United Kingdom,Point(-3.210797 57.532)
