slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
d-auria-distillerie-energia-spa,D'Auria distillerie & energia SpA,Italy,it-registro-imprese,02465030696,D'Auria distillerie & energia S.p.A,self,own-website-vat,high,,http://distilleriadauria.it,P.IVA/codice fiscale 02465030696 read from the distillery's own website (http://distilleriadauria.it); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
maite-distilleria,Maite Distilleria,Italy,it-registro-imprese,09440120963,Maite Distilleria,self,own-website-vat,high,,https://www.maitedistilleria.it,"P.IVA/codice fiscale 09440120963 read from the distillery's own website (https://www.maitedistilleria.it); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
distilleria-liquorificio-opificio-77,"Distilleria Liquorificio ""Opificio 77""",Italy,it-registro-imprese,01400480453,"Distilleria Liquorificio ""Opificio 77""",self,own-website-vat,medium,,http://www.opificio77cocktails.com,P.IVA/codice fiscale 01400480453 read from the distillery's own website (http://www.opificio77cocktails.com); number found but no legal name printed next to it; company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
distilleria-eight,Distilleria Eight,Italy,it-registro-imprese,04098780366,Distilleria Eight,self,own-website-vat,high,,https://www.distilleriaeight.net,"P.IVA/codice fiscale 04098780366 read from the distillery's own website (https://www.distilleriaeight.net); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
major-distillerie-s-r-l,Major Distillerie S.r.l.,Italy,it-registro-imprese,02408260418,Major distillerie srl,self,own-website-vat,high,,http://www.majorliquori.com,P.IVA/codice fiscale 02408260418 read from the distillery's own website (http://www.majorliquori.com); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
distilleria-varnelli-spa,Distilleria Varnelli Spa,Italy,it-registro-imprese,00093050433,Distilleria Varnelli Spa,self,own-website-vat,high,,http://www.varnelli.it,"P.IVA/codice fiscale 00093050433 read from the distillery's own website (http://www.varnelli.it); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
ngricca-agridistilleria,Ngricca Agridistilleria,Italy,it-registro-imprese,02442690448,Ngricca Agridistilleria,self,own-website-vat,medium,,http://www.ngricca.it,P.IVA/codice fiscale 02442690448 read from the distillery's own website (http://www.ngricca.it); number found but no legal name printed next to it; company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
distilleria-castelli-giuseppe-di-castelli-sergio-c-s-n-c,Distilleria Castelli Giuseppe Di Castelli Sergio & C.(S.N.C.),Italy,it-registro-imprese,01873390049,Distilleria Castelli Giuseppe Di Castelli Sergio & C.(S.N.C.),self,own-website-vat,medium,,http://www.distilleriacastelli.com,P.IVA/codice fiscale 01873390049 read from the distillery's own website (http://www.distilleriacastelli.com); number found but no legal name printed next to it; company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
distilleria-cristiani-srl,Distilleria Cristiani srl,Italy,it-registro-imprese,01827890995,Distilleria Cristiani Luca srl,self,own-website-vat,high,,http://www.distilleriacristiani.it,P.IVA/codice fiscale 01827890995 read from the distillery's own website (http://www.distilleriacristiani.it); legal name on the site matches the pin (jaccard 0.50); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
magnoberta-distilleria-s-a-s,Magnoberta Distilleria (S.A.S.),Italy,it-registro-imprese,00452380066,Luparia Alberto & Figli sas,operator,own-website-vat,medium,,http://www.magnoberta.com,P.IVA/codice fiscale 00452380066 read from the distillery's own website (http://www.magnoberta.com); legal name on the site differs from the pin name (jaccard 0.00); may be the operator; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
art-distillery-studios,Art Distillery Studios,Italy,it-registro-imprese,03606810368,Art Distillery Studios,self,own-website-vat,high,,http://www.artdistillery.it,"P.IVA/codice fiscale 03606810368 read from the distillery's own website (http://www.artdistillery.it); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
lux-gin-bar-distillery,LUX Gin Bar & Distillery,Italy,it-registro-imprese,02050050380,LUX Gin Bar & Distillery,self,own-website-vat,high,,https://www.luxdistillery.it/privacy/,"P.IVA/codice fiscale 02050050380 read from the distillery's own website (https://www.luxdistillery.it/privacy/); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
distilleria-zeltico,Distilleria Zeltico,Italy,it-registro-imprese,02031770387,Distilleria Zeltico,self,own-website-vat,high,,https://www.zeltico.com,"P.IVA/codice fiscale 02031770387 read from the distillery's own website (https://www.zeltico.com); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
distilleria-tuono,Distilleria Tuono,Italy,it-registro-imprese,02658770397,Distilleria Tuono,self,own-website-vat,high,,https://www.distilleriatuono.it,"P.IVA/codice fiscale 02658770397 read from the distillery's own website (https://www.distilleriatuono.it); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
