slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
adinco-distilleries,Adinco Distilleries,India,in-goa-excise,,M/s. Adinco Distilleries,self,goa-excise-unit-list,low,,https://excise.goa.gov.in/contact_us.aspx,listed as a manufacturing unit (Distillery/Winery) under Smt. Maria Grace Dias; name jaccard 1.00; no licence number is published
adventurist-spirits-distillery,Adventurist Spirits Distillery,India,in-goa-excise,,Adventurist Spirits Distillery Private Limited,self,goa-excise-unit-list,low,,https://excise.goa.gov.in/contact_us.aspx,listed as a manufacturing unit (Distillery) under Excise Station Bardez; name jaccard 1.00; no licence number is published
fullarton-distilleries,Fullarton Distilleries,India,in-goa-excise,,M/s Fullarton Distilleries Pvt. Ltd.,self,goa-excise-unit-list,low,,https://excise.goa.gov.in/contact_us.aspx,listed as a manufacturing unit (Distillery) under Shri Maheshwar Pai; name jaccard 1.00; no licence number is published
gemini-distilleries-goa-private-limited,Gemini Distilleries Goa Private Limited,India,in-goa-excise,,M/s. Gemini Distilleries (Goa) Pvt. Ltd,self,goa-excise-unit-list,low,,https://excise.goa.gov.in/contact_us.aspx,no register number read; listed as a manufacturing unit (Distillery/Winery) under Shri Kapil Krishna Diukar; name jaccard 1.00; no licence number is published
shaiv-distilleries-private-limited,Shaiv Distilleries Private Limited,India,in-goa-excise,,M/s Shaiv Distilleries Pvt. Ltd,self,goa-excise-unit-list,low,,https://excise.goa.gov.in/contact_us.aspx,listed as a manufacturing unit (Distillery/Winery) under Shri Nilesh T. Padolkar; name jaccard 1.00; no licence number is published
