slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
316-distillery,316 Distillery,United States,ttb-basic-permit,AR-S-20021,316 DISTILLERY LLC,self,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Camden, AR; dba 316 Distillery; list of 2026-09-20"
36522-the-distillery,36522 THE DISTILLERY,United States,ttb-basic-permit,CA-S-20455,36522 HOLDINGS LLC,self,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Temecula, CA; dba The 36522 Distillery; list of 2026-09-20"
3br-distillery,3BR Distillery,United States,ttb-basic-permit,NJ-S-20059,3BR DISTILLERY LLC,self,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via owner; premises Keyport, NJ; list of 2026-09-20"
4-kings-distillery,4 Kings Distillery,United States,ttb-basic-permit,NY-S-20317,4 KINGS DISTILLERY LLC,self,ttb-name-state,high,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Newfane, NY; dba 4 Kings Distillery; list of 2026-09-20"
4-one-2-distillery,4 One 2 Distillery,United States,ttb-basic-permit,MI-S-20196,JOY FAITH HOPE ENTERPRISE LLC,operator,ttb-premises,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"same premises: 739 S Main St, Wayland 49348, street overlap 1.00, name overlap 0.00; list of 2026-09-20"
4-spirits-distillery,4 Spirits Distillery,United States,ttb-basic-permit,OR-S-15036,4 SPIRITS DISTILLERY LLC,self,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Corvallis, OR; dba 4 SPIRITS DISTILLERY; list of 2026-09-20"
45th-parallel-distillery,45th Parallel Distillery,United States,ttb-basic-permit,WI-S-15004,"45TH PARALLEL SPIRITS, LLC",self,ttb-name-state,high,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via owner; premises New Richmond, WI; list of 2026-09-20"
5-mile-mountain-distillery,5 Mile Mountain Distillery,United States,ttb-basic-permit,VA-S-20009,DARK HOLLOW HOOCH LLC,operator,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 0.60 via operating; premises Floyd, VA; dba Five Mile Mountain Distillery; list of 2026-09-20"
503-distilling,503 Distilling,United States,ttb-basic-permit,OR-S-20101,503 DISTILLING CORPORATION,self,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Portland, OR; dba 503 Distilling; list of 2026-09-20"
5rocks-distilling-co,5Rocks Distilling Co.,United States,ttb-basic-permit,MN-S-20048,BRAINERD DISTILLING COMPANY,operator,ttb-name-state,high,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Brainerd, MN; dba 5ROCKS DISTILLING CO; list of 2026-09-20"
797-distillery,797 Distillery,United States,ttb-basic-permit,TN-S-20161,797 DISTILLERY LLC,self,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Covington, TN; dba 797 Distillery; list of 2026-09-20"
82west-distilling,82°West Distilling,United States,ttb-basic-permit,FL-S-20040,"THE RUM PROJECT, LLC",operator,ttb-premises,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"same premises: 6430 N Florida Ave, Tampa 33604, street overlap 1.00, name overlap 0.00; dba 82 West Distilling; list of 2026-09-20"
8aees-distilling-company,8aees Distilling Company,United States,ttb-basic-permit,OK-S-20022,"8AEES DISTILLERY, LLC",self,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Shattuck, OK; dba 8aees Distilling Co.; list of 2026-09-20"
8th-day,8th Day,United States,ttb-basic-permit,IN-S-20031,8TH DAY DISTILLERY LLC,self,ttb-name-state,high,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Indianapolis, IN; dba 8th Day Distillery; list of 2026-09-20"
a-m-scott-distillery,A.M. Scott Distillery,United States,ttb-basic-permit,OH-S-20124,"A.M. SCOTT DISTILLERY, LLC",self,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via owner; premises Dayton, OH; list of 2026-09-20"
