slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
distillerie-octavie-alambic-spiritueux-haute-savoie,Distillerie Octavie – Alambic & Spiritueux Haute-Savoie,France,fr-sirene,928686419,DISTILLERIE OCTAVIE MONT-BLANC,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/928686419,name jaccard 0.33 on 'DISTILLERIE OCTAVIE MONT-BLANC'; UL active; NAF 11.01Z; created 2024-05-06; SIRET 92868641900013 74700 DOMANCY (postcode/city agrees) siege; dirigeants: JEAN-ROGER REVENAZ (Directeur Général); KÉVIN REVENAZ (Président de SAS)
distillerie-onze,Distillerie Onze,France,fr-sirene,949392757,MARIEN BEAUGRAND,self,sirene-naf-1101z,medium,,https://annuaire-entreprises.data.gouv.fr/entreprise/949392757,name jaccard 1.00 on 'DISTILLERIE ONZE'; UL active; NAF 11.01Z; created 2023-01-02; SIRET 94939275700033 29920 NEVEZ (postcode/city agrees) siege; dirigeants: MARIEN BEAUGRAND (None)
distillerie-pages,Distillerie Pagès,France,fr-sirene,353821044,PAGES VEDRENNE,self,sirene-naf-1101z,medium,,https://annuaire-entreprises.data.gouv.fr/entreprise/353821044,"name jaccard 0.50 on 'PAGES VEDRENNE'; UL active; NAF 11.01Z; created 1990-03-01; SIRET 35382104400065 43700 SAINT GERMAIN LAPRADE (postcode/city agrees) siege; dirigeants: JEAN-PIERRE COINTREAU (Président de SAS); AUDIT EXPERTISE COMMISSARIAT (Commissaire aux comptes suppléant, SIREN 383138021); KPMG S.A (Commissaire aux comptes titulaire, SIREN 775726417)"
distillerie-palandre,Distillerie Palandre,France,fr-sirene,949219380,DISTILLERIE PALANDRE,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/949219380,name jaccard 1.00 on 'DISTILLERIE PALANDRE'; UL active; NAF 11.01Z; created 2023-02-17; SIRET 94921938000019 42120 PERREUX (postcode/city agrees) siege; dirigeants: ALAIN PALANDRE (Directeur Général); EMMANUEL PALANDRE (Président de SAS); PATRICIA DAMANCE (PALANDRE) (Directeur Général)
distillerie-pere-labat,Distillerie Père Labat,France,fr-sirene,489480913,PERE LABAT-DOMAINE POISSON,self,sirene-naf-1101z,medium,,https://annuaire-entreprises.data.gouv.fr/entreprise/489480913,name jaccard 0.50 on 'PERE LABAT-DOMAINE POISSON'; UL active; NAF 11.01Z; created 2006-04-20; SIRET 48948091300024 97112 GRAND BOURG (postcode/city agrees) siege; dirigeants: GILLES PIGNALOSA (Directeur Général)
distillerie-persyn,Distillerie Persyn,France,fr-sirene,575880711,DISTILLERIE PERSYN,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/575880711,name jaccard 1.00 on 'DISTILLERIE PERSYN'; UL active; NAF 11.01Z; created 1958-01-01; SIRET 57588071100024 62910 HOULLE (postcode/city agrees) siege; dirigeants: LIONEL PERSYN (Gérant)
distillerie-pierre-guy,Distillerie Pierre Guy,France,fr-sirene,652820960,DISTILLERIE PIERRE GUY,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/652820960,"name jaccard 1.00 on 'DISTILLERIE PIERRE GUY'; UL active; NAF 11.01Z; created 1965-01-01; SIRET 65282096000019 25300 PONTARLIER (postcode/city agrees) siege; dirigeants: YOUXTA AUDIT (Commissaire aux comptes titulaire, SIREN 392958047); FIMAGE PACKAGING (Président de SAS, SIREN 449151273)"
distillerie-remy-piron,Distillerie Rémy Piron,France,fr-sirene,342799871,SOCIETE D'EXPLOITATION DES DISTILLERIES REMY PIRON,self,sirene-naf-1101z,medium,,https://annuaire-entreprises.data.gouv.fr/entreprise/342799871,"name jaccard 0.67 on 'SOCIETE D'EXPLOITATION DES DISTILLERIES REMY PIRON'; UL active; NAF 11.01Z; created 1987-09-01; SIRET 34279987100013 16130 ANGEAC CHAMPAGNE (postcode/city agrees) siege; dirigeants: JEAN-MANUEL GERAL (GERAL) (Président de SAS); SGPSG (Président de SAS, SIREN 893957084)"
distillerie-rhodes-basses,DISTILLERIE RHODES BASSES,France,fr-sirene,908428881,SARL LES RHODES BASSES,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/908428881,name jaccard 1.00 on 'SARL LES RHODES BASSES'; UL active; NAF 11.01Z; created 2022-01-01; SIRET 90842888100019 24240 RIBAGNAC (postcode/city agrees) siege; dirigeants: MARC BONNEFIN-MORANT (BONNEFIN) (Gérant); GILLES DE CONTI (Gérant)
distillerie-rhum-damoiseau,Distillerie Rhum Damoiseau,France,fr-sirene,498235316,RHUM DAMOISEAU,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/498235316,"name jaccard 1.00 on 'RHUM DAMOISEAU'; UL active; NAF 11.01Z; created 2007-04-01; SIRET 49823531600011 97160 LE MOULE (postcode/city agrees) siege; dirigeants: DAMOISEAU FRERES (Directeur Général, SIREN 313140220); ANTILLES AUDIT (Commissaire aux comptes titulaire, SIREN 333941417); LADY BIRD (Président de SAS, SIREN 480246057)"
distillerie-rionde,Distillerie Riondé,France,fr-sirene,851838524,DISTILLERIE RIONDE,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/851838524,name jaccard 1.00 on 'DISTILLERIE RIONDE'; UL active; NAF 11.01Z; created 2019-06-15; SIRET 85183852400011 88260 SAINT BASLEMONT (postcode/city agrees) siege; dirigeants: ESTELLE RIONDE (RIONDE) (Gérant); ESTELLE RIONDE (Gérant)
distillerie-rionde,Distillerie Riondé,France,fr-sirene,825046931,ESTELLE RIONDE,self,sirene-naf-1101z,medium,,https://annuaire-entreprises.data.gouv.fr/entreprise/825046931,name jaccard 0.50 on 'ESTELLE RIONDE'; UL ceased; NAF 11.01Z; created 2016-10-31; SIRET 82504693100010 88260 SAINT BASLEMONT (postcode/city agrees) siege closed; dirigeants: ESTELLE RIONDE (None)
distillerie-riviere-du-mat,Distillerie Rivière du Mât,France,fr-sirene,487619975,DISTILLERIE RIVIERE DU MAT,self,sirene-naf-1101z,medium,,https://annuaire-entreprises.data.gouv.fr/entreprise/487619975,"ambiguous: 2 companies match equally; name jaccard 1.00 on 'DISTILLERIE RIVIERE DU MAT'; UL active; NAF 11.01Z; created 2005-12-13; SIRET 48761997500039 97470 SAINT BENOIT (postcode/city agrees) siege; dirigeants: DIDIER DE LAUNAY (Commissaire aux comptes suppléant); PIERRE NATIVEL (Commissaire aux comptes suppléant); COMPAGNIE FINANCIERE EUROPEENNE DE PRISES DE PARTICIPATION (Président de SAS, SIREN 572056331)"
distillerie-riviere-du-mat,Distillerie Rivière du Mât,France,fr-sirene,490375029,LIQUORISTERIE RIVIERE SAS,self,sirene-naf-1101z,medium,,https://annuaire-entreprises.data.gouv.fr/entreprise/490375029,ambiguous: 2 companies match equally; name jaccard 0.50 on 'D.RIVIERE'; UL active; NAF 11.01Z; created 2006-07-01; SIRET 49037502900041 97437 SAINT BENOIT (postcode/city agrees) siege; dirigeants: DANY RIVIERE (PAVADEPOULLE) (Président de SAS)
