slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba,global_name_score,candidate_tier,candidate_permit,candidate_owner,candidate_dba,candidate_state,candidate_city
sugar-hill-distillery,Sugar Hill Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,GA-S-20051,SUGAR HILL DISTILLERY LLC,,GA,SUGAR HILL
west-fork-whiskey-co,West Fork Whiskey Co.,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,IN-S-20028,WEST FORK WHISKEY CO.,West Fork Whiskey Co.,IN,INDIANAPOLIS
the-distillery-high-ridge-spirits,The Distillery High Ridge Spirits,,,osm,unmatched,0,none,0,,,,83.3,review_name_candidate_70_84,AL-S-20001,"HIGH RIDGE SPIRITS, LLC.",High Ridge Spirits LLC,AL,FLORENCE
riverhead-ciderhouse,Riverhead Ciderhouse,,,osm,unmatched,0,none,0,,,,74.3,review_name_candidate_70_84,IA-S-20044,"THE CIDER HOUSE, LLC",The Cider House,IA,FAIRFIELD
anvil-distillery,Anvil Distillery,,,osm,unmatched,0,none,0,,,,72.7,review_name_candidate_70_84,PA-S-20256,"MUTUAL RESPECT BREWING AND DISTILLING, INC.",SPIRIT ANIMAL SPIRITS,PA,BENSALEM
nashville-craft-distilery,Nashville Craft Distilery,,,osm,unmatched,0,none,0,,,,70.6,review_name_candidate_70_84,OK-S-20028,"QUAD T, LLC",CopperHead Hill Distilerry,OK,CADDO
dark-door-spirits,Dark Door Spirits,,,osm,unmatched,0,none,0,,,,73.7,review_name_candidate_70_84,MI-S-20207,"ROAK BREWING CO., LLC",Dark Horse Brewing Company,MI,MARSHALL
four-fights-distilling,Four Fights Distilling,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,NY-S-20062,FOUR FIGHTS DISTILLING LLC,Four Fights Distilling,NY,ROCHESTER
lockhouse-distillery,Lockhouse Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,NY-S-20013,EIGHT BUFFALO SPIRITS LLC,Lockhouse Distillery,NY,BUFFALO
dalton-distillery,Dalton Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,GA-S-20005,"DALTON DISTILLERS, LLC","Dalton Distillery, LLC",GA,DALTON
yardley-distillery-production-site,Yardley Distillery Production Site,,,osm,unmatched,0,none,0,,,,63.2,no_name_candidate_below_70,PA-S-20199,YARDLEY LOBSTER LLC,Yardley Distillery,PA,YARDLEY
honeoye-falls-distillery,Honeoye Falls Distillery,,,osm,unmatched,0,none,0,,,,60.9,no_name_candidate_below_70,ID-S-20021,"TWIN FALLS DISTILLERY, LLC.",Twin Falls Distillery,ID,TWIN FALLS
old-fourth-distillery,Old Fourth Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,GA-S-20004,"OLD FOURTH DISTILLERY, LTD. CO.",Old Fourth Distillery,GA,ATLANTA
omega-gin-company,Omega Gin Company,,,osm,unmatched,0,none,0,,,,70.0,review_name_candidate_70_84,OR-S-20077,"GOMPERS GIN, LLC",Gompers Distillery,OR,REDMOND
graybeard-distillery,Graybeard Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,NC-S-20054,"GRAYBEARD DISTILLERY, INC.",,NC,DURHAM
local-goat-distillery,Local Goat Distillery,,,osm,unmatched,0,none,0,,,,63.6,no_name_candidate_below_70,MD-S-20035,"TOASTED GOAT WINERY, LLC",Rout 40 Distilling Company,MD,FROSTBURG
rlb-distillery-co,RLB Distillery Co.,,,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,CA-S-20218,"SLO BREWING CO, LLC",SLO Stills,CA,SAN LUIS OBISPO
bud-light,Bud Light,,,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,TN-S-20134,"MLD GROUP, LLC",Flight Spirits,TN,HENDERSONVILLE
caledonia-spirits-inc,Caledonia Spirits Inc.,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,VT-S-20030,"CALEDONIA SPIRITS, INC.",Caledonia Spirits,VT,MONTPELIER
urbana-hill-distilling,Urbana Hill Distilling,,,osm,unmatched,0,none,0,,,,81.8,review_name_candidate_70_84,LA-S-20048,"LOUISIANA ROOTS, L.L.C.",Urban South Distilling,LA,NEW ORLEANS
lux-row-distillers,Lux Row Distillers,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,KY-S-20106,"LUXCO, INC.",Lux Row Distillers,KY,BARDSTOWN
bluegrass-distillers,Bluegrass Distillers,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,KY-S-20006,"BLUEGRASS DISTILLERS, LLC",Bluegrass Distillers,KY,MIDWAY
wild-roots-x-wyld-cbd,Wild Roots x Wyld CBD,,,osm,unmatched,0,none,0,,,,60.0,no_name_candidate_below_70,ME-S-20036,ROOT WILD LLC,,ME,PORTLAND
moonshine-ridge,Moonshine Ridge,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,TX-S-20074,"MOONSHINE RIDGE, INC.",,TX,JOHNSON CITY
seven-troughs-distilling-co,Seven Troughs Distilling Co.,,,osm,unmatched,0,none,0,,,,77.6,review_name_candidate_70_84,LA-S-20052,"SEVEN THREE DISTILLING COMPANY, LLC",Seven Three Distilling Company,LA,NEW ORLEANS
rock-solid-distillery,Rock Solid Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,GA-S-20042,"MILLER B. TWIST PRODUCTIONS, LLC",Rock Solid Distillery,GA,WINDER
crooked-tail-distilery,Crooked Tail Distilery,,,osm,unmatched,0,none,0,,,,79.2,review_name_candidate_70_84,KY-S-20040,"CROOKED TAIL DISTILLING CO., LLC",,KY,PRINCETON
striped-lion-distilling,Striped Lion Distilling,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,NJ-S-20035,"STRIPED LION DISTILLING, LLC",,NJ,WEST DEPTFORD
bismarck-brewing,Bismarck Brewing,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,ND-S-20008,BISMARCK DISTILLERY LLC,Bismarck Distillery,ND,LINCOLN
springbrook-hollow-farm-distillery,Springbrook Hollow Farm Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,NY-S-20022,"SPRINGBROOK HOLLOW FARM DISTILLERY, LLC",Springbrook Hollow Farm Distillery,NY,FORT ANN
carmichael-brother-s-distillery,Carmichael Brother's Distillery,,,osm,unmatched,0,none,0,,,,68.4,no_name_candidate_below_70,NC-S-20192,CHURCHILL BROTHERS BREWING LLC,RudeDog Distillery & Churchill Brothers Brewing,NC,MOORESVILLE
fierce-whiskers-distillery,Fierce Whiskers Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,TX-S-20183,"FIERCE WHISKERS DISTILLERY, LLC",,TX,AUSTIN
new-richmond-distilleries,New Richmond Distilleries,,,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,MI-S-20314,"UNION ESTATES, LLC",New Union Distillery,MI,LOWELL
mayberry-spirits-distillery,Mayberry Spirits Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,NC-S-20007,STEVEN COX,Mayberry Distillery,NC,MOUNT AIRY
salty-stash,Salty Stash,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,VA-S-20086,SALTY STASH DISTILLERY LLC,,VA,ALLISONIA
fernweh-distilling-co,Fernweh Distilling Co.,,,osm,unmatched,0,none,0,,,,92.3,high_name_candidate_85_94,MO-S-20037,"WEISS HOLDINGS, LLC",Fernweh Distilling Company,MO,HERMANN
whiskey-hollow-distillery,Whiskey Hollow Distillery,,,osm,unmatched,0,none,0,,,,86.7,high_name_candidate_85_94,PA-S-20195,"LAUREL HIGHLAND SPIRITS, LLC",Helltown Whiskey,PA,OAKDALE
