slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba,global_name_score,candidate_tier,candidate_permit,candidate_owner,candidate_dba,candidate_state,candidate_city
north-of-7-distillery,North of 7 Distillery,"1733 St. Laurent Blvd, Ottawa, ON K1B 4S6, Canada",,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,CO-S-20021,ROCKY RYE LLC,39 North Spirits,CO,EAGLE
j-l-distilling,J&L Distilling,,,osm,unmatched,0,none,0,,,,88.9,high_name_candidate_85_94,WA-S-20163,JK DISTILLING LLC,Wohlfert Craft Distilling,WA,SNOHOMISH
roots-and-wings-distillery,Roots and Wings Distillery,"7897 240 St, Langley Twp, BC V1M 3P9, Canada",,osm,unmatched,0,none,0,,,,68.8,no_name_candidate_below_70,CA-S-20283,BRAND HOUSE WINES & SPIRITS LLC,,CA,SANTA BARBARA
the-new-york-distilling-company,The New York Distilling Company,,,osm,unmatched,0,none,0,,,,90.5,high_name_candidate_85_94,NY-S-15025,"NEW YORK DISTILLING COMPANY, LLC",NEW YORK DISTILLING,NY,BROOKLYN
dirty-water-distillery,Dirty Water Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,MA-S-20004,"DIRTY WATER DISTILLERY, LLC",,MA,PLYMOUTH
bowens-whiskey,Bowen’s Whiskey,,,osm,unmatched,0,none,0,,,,81.5,review_name_candidate_70_84,IN-S-20109,"IBWE WHISKEY COMPANY, LLC",Circle City Whiskey Company,IN,INDIANAPOLIS
still-waters-distillery,Still Waters Distillery,"150 Bradwick Dr, Concord, ON L4K 4M7, Canada",,osm,unmatched,0,none,0,,,,90.9,high_name_candidate_85_94,CA-S-371,"SWEETWATER DISTILLERS, INC.",STILLWATER SPIRITS,CA,PETALUMA
dark-island-spirits-distillery,Dark Island Spirits Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,NY-S-20012,DARK ISLAND SPIRITS INC.,Eleanor Glen Distillery,NY,ALEXANDRIA BAY
deep-roots-distillery,Deep Roots Distillery,,,osm,unmatched,0,none,0,,,,83.3,review_name_candidate_70_84,MA-S-20057,"DEEP ROOTS DISTILLERY USA, LLC",Deep Roots Distillery USA,MA,FISKDALE
dillon-s-small-batch-distillers,Dillon's Small Batch Distillers,"4833 Tufford Rd, Beamsville, ON L3J 1G7, Canada",,osm,unmatched,0,none,0,,,,69.1,no_name_candidate_below_70,TX-S-20062,"BLANCO VALLEY DISTILLERS, LLC",Andalusia Whiskey Co.,TX,BLANCO
tommy-rotter-distellery,Tommy Rotter Distellery,,,osm,unmatched,0,none,0,,,,68.2,no_name_candidate_below_70,WA-S-15034,"RIVER TOWN DISTILLERS, LLC",,WA,SNOHOMISH
old-still,Old Still,,,osm,unmatched,0,none,0,,,,87.5,high_name_candidate_85_94,MI-S-20009,"D'STILL, LLC",Motor City Gas,MI,ROYAL OAK
murphy-s-law-distillery-ltd,Murphy's Law Distillery Ltd.,"90 Earl Martin Dr Unit 2, Elmira, ON N3B 3L4, Canada",,osm,unmatched,0,none,0,,,,56.2,no_name_candidate_below_70,WA-S-20192,RESZOLVE LLC,Maury Island Whiskey,WA,VASHON
bulleit-distilling-co,Bulleit Distilling Co.,,,osm,unmatched,0,none,0,,,,85.0,high_name_candidate_85_94,TX-S-20035,BENDT DISTILLING LLC,Bendt Distilling Co.,TX,LEWISVILLE
upstate-distilling,Upstate Distilling,,,osm,unmatched,0,none,0,,,,86.5,high_name_candidate_85_94,CO-S-20016,STATE 38 DISTILLING LLC,State 38 Distilling,CO,GOLDEN
gillespie-s-fine-spirits,Gillespie's Fine Spirits,"38918 Progress Way #8, Squamish, BC V8B 0K7, Canada",,osm,unmatched,0,none,0,,,,60.6,no_name_candidate_below_70,CA-S-20490,"GIUSEPPE'S CUCINA, LLC",Giuseppe's Cucina,CA,PISMO BEACH
ironworks-distillery,Ironworks Distillery,"2 Kempt St, Lunenburg, NS B0J 2C0, Canada",,osm,unmatched,0,none,0,,,,71.4,review_name_candidate_70_84,AL-S-20007,"IRONS DISTILLERY, LLC",,AL,HUNTSVILLE
mt-defiance-cidery-distillery,Mt. Defiance Cidery & Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,VA-S-20152,"MOUNT DEFIANCE CIDERY & DISTILLERY, LLC",Mt. Defiance Cidery & Distillery,VA,LURAY
distillerie-fils-du-roy-quebec,Distillerie Fils du Roy Québec,,,osm,unmatched,0,none,0,,,,62.7,no_name_candidate_below_70,NY-S-20266,DISTILLERIE DE STOLFO LLC,Distillerie de Stolfo,NY,VESTAL
twin-spirits-distillery-m-coffee-shop,Twin Spirits Distillery,,,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,OR-S-15023,"STEIN DISTILLERY, INC",,OR,JOSEPH
cannon-beach-distillery,Cannon Beach Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,OR-S-20001,"CANNON BEACH DISTILLERY, LLC",,OR,CANNON BEACH
lost-ark-distilling-company,Lost Ark Distilling Company,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,MD-S-20015,"LOST ARK DISTILLING COMPANY, LLC",Lost Ark Distilling Company,MD,COLUMBIA
white-tiger-distillery,White Tiger Distillery,,,osm,unmatched,0,none,0,,,,76.2,review_name_candidate_70_84,WI-S-20077,"WHITE BEAR SPIRITS, LLC",SoLu Estate Winery,WI,CASCADE
beach-time-distilling,Beach Time Distilling,,,osm,unmatched,0,none,0,,,,85.7,high_name_candidate_85_94,FL-S-20137,VERO BEACH DISTILLING LLC,Indian River Distillery,FL,VERO BEACH
gold-river-distillery,Gold River Distillery,,,osm,unmatched,0,none,0,,,,73.7,review_name_candidate_70_84,NM-S-20027,"RED RIVER BREWING COMPANY, LLC",Red River Brewing Company,NM,RED RIVER
authentic-seacoast-company,Authentic Seacoast Company,"75 Ferry Rd, Guysborough, NS B0H 1N0, Canada",,osm,unmatched,0,none,0,,,,61.9,no_name_candidate_below_70,WV-S-20027,THE AUTHENTIC HATFIELD & MCCOY FAMILIES DEVELOPMENT LLC,Authentic Hatfield & McCoy,WV,LOGAN
compass-distillers,Compass Distillers,"2533 Agricola St, Halifax, NS B3K 4C4, Canada",,osm,unmatched,0,none,0,,,,81.1,review_name_candidate_70_84,NV-S-1,COMSTOCK DISTILLERS LLC,Comstock Distillers,NV,RENO
steinhart-s-distillary,Steinhart's Distillary,"5963 NS-245, Antigonish, NS B2G 2L1, Canada",,osm,unmatched,0,none,0,,,,70.0,review_name_candidate_70_84,MI-S-20336,SHANKAR DISTILLERS INC.,,MI,TROY
