slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba
bulleit-distilling-co,Bulleit Distilling Co.,,,osm,unmatched,0,none,0,,,
upstate-distilling,Upstate Distilling,,,osm,unmatched,0,none,0,,,
gillespie-s-fine-spirits,Gillespie's Fine Spirits,"38918 Progress Way #8, Squamish, BC V8B 0K7, Canada",,osm,unmatched,0,none,0,,,
ironworks-distillery,Ironworks Distillery,"2 Kempt St, Lunenburg, NS B0J 2C0, Canada",,osm,unmatched,0,none,0,,,
mt-defiance-cidery-distillery,Mt. Defiance Cidery & Distillery,,,osm,unmatched,0,none,0,,,
distillerie-fils-du-roy-quebec,Distillerie Fils du Roy Québec,,,osm,unmatched,0,none,0,,,
sangfroid-distillery,sangfroid Distillery,"5130 Baltimore Ave, Hyattsville, MD 20781, USA",MD,osm,unmatched,62.1,none,0.5,,,
cf-i,CF&I,"900 SE Salmon St, Portland, OR 97214, USA",OR,osm,unmatched,50.0,none,0.143,,,
twin-spirits-distillery-m-coffee-shop,Twin Spirits Distillery,,,osm,unmatched,0,none,0,,,
cannon-beach-distillery,Cannon Beach Distillery,,,osm,unmatched,0,none,0,,,
lost-ark-distilling-company,Lost Ark Distilling Company,,,osm,unmatched,0,none,0,,,
white-tiger-distillery,White Tiger Distillery,,,osm,unmatched,0,none,0,,,
beach-time-distilling,Beach Time Distilling,,,osm,unmatched,0,none,0,,,
gold-river-distillery,Gold River Distillery,,,osm,unmatched,0,none,0,,,
yahara-bay-distillery,Yahara Bay Distillery,"6250 Nesbitt Rd #200, Madison, WI 53719, USA",WI,osm,unmatched,64.5,none,0.429,,,
authentic-seacoast-company,Authentic Seacoast Company,"75 Ferry Rd, Guysborough, NS B0H 1N0, Canada",,osm,unmatched,0,none,0,,,
compass-distillers,Compass Distillers,"2533 Agricola St, Halifax, NS B3K 4C4, Canada",,osm,unmatched,0,none,0,,,
steinhart-s-distillary,Steinhart's Distillary,"5963 NS-245, Antigonish, NS B2G 2L1, Canada",,osm,unmatched,0,none,0,,,
county-seat-spirits,County Seat Spirits,,,osm,unmatched,0,none,0,,,
dry-fly-distillery,Dry Fly Distillery,,,osm,unmatched,0,none,0,,,
thrasher-s-rum,Thrasher's Rum,,,osm,unmatched,0,none,0,,,
good-shepherd-distillery,Good Shepherd Distillery,,,osm,unmatched,0,none,0,,,
crostwater-distilled-spirits,Crostwater Distilled Spirits,"506 Industrial Dr, Lewisberry, PA 17339, USA",PA,osm,unmatched,68.3,none,0.0,,,
manatawny-still-works,Manatawny Still Works,,,osm,unmatched,0,none,0,,,
doc-water-s-cidery,Doc Water's Cidery,,,osm,unmatched,0,none,0,,,
loon-liquors,Loon Liquors,,,osm,unmatched,0,none,0,,,
tenth-ward-distilling,Tenth Ward Distilling,,,osm,unmatched,0,none,0,,,
oak-and-maple-whisky-and-waffle-co,Oak and Maple (Whisky and Waffle Co.),"123 E 5th St, Loveland, CO 80537, USA",CO,osm,unmatched,57.6,none,0.0,,,
eight-oaks-farm-distillery,Eight Oaks Farm Distillery,,,osm,unmatched,0,none,0,,,
noble-grape,Noble Grape,,,osm,unmatched,0,none,0,,,
local-cider,Local Cider,,,osm,unmatched,0,none,0,,,
crawford-distillery,Crawford Distillery,"5 1st St W, Havre, MT 59501, USA",MT,osm,unmatched,36.4,none,0.0,,,
la-chaufferie,La Chaufferie,,,osm,unmatched,0,none,0,,,
jones-von-drehle-vineyards,Jones von Drehle Vineyards,,,osm,unmatched,0,none,0,,,
vikre-distillery-and-cocktail-room,Vikre Distillery and Cocktail Room,"525 S Lake Ave #102, Duluth, MN 55802, USA",MN,osm,unmatched,53.1,none,0.0,,,
north-spirit-distillery-after-six-vodka,North Spirit Distillery/After Six Vodka,"2300 Finch Ave W Unit 44, North York, ON M9M 2Y3, Canada",,osm,unmatched,0,none,0,,,
bee-boyzz-honey,Bee Boyzz Honey,,,osm,unmatched,0,none,0,,,
central-standard-craft-distillery,Central Standard Craft Distillery,,,osm,unmatched,0,none,0,,,
patent-5-spirits,Patent 5 Spirits,"108 Alexander Ave, Winnipeg, MB R3B 0L2, Canada",,osm,unmatched,0,none,0,,,
junction-56-distillery,Junction 56 Distillery,"45 Cambria St, Stratford, ON N5A 1G8, Canada",,osm,unmatched,0,none,0,,,
hanson-of-sonoma-distillery,Hanson of Sonoma Distillery,"22985 Burndale Rd Building C, Sonoma, CA 95476, USA",CA,osm,unmatched,64.3,none,0.0,,,
elysian-desert-distilleries,Elysian Desert Distilleries,,,osm,unmatched,0,none,0,,,
cape-island-distillers,Cape & Island Distillers,,,osm,unmatched,0,none,0,,,
red-boot-distillery,Red Boot Distillery,"1587 NE 67th Pl, Des Moines, IA 50313, USA",IA,osm,unmatched,47.6,none,0.0,,,
cascade-street-distillery,Cascade Street Distillery,"261 W Cascade Ave, Sisters, OR 97759, USA",OR,osm,unmatched,66.7,none,0.0,,,
route-40-distilling-co,Route 40 Distilling Co.,,,osm,unmatched,0,none,0,,,
copper-spirit-distillery,Copper Spirit Distillery,"441 Bowen Island Trunk Rd, Bowen Island, BC V0N 1G0, Canada",,osm,unmatched,0,none,0,,,
la-barik,La Barik,,,osm,unmatched,0,none,0,,,
lucky-guys-distilling,Lucky Guys Distilling,"101 2nd St S, Hudson, WI 54016, USA",WI,osm,unmatched,69.8,none,0.0,,,
big-dog-distillery,Big Dog Distillery,"307 S 3rd St, Bismarck, ND 58504, USA",ND,osm,unmatched,58.3,none,0.571,,,
distillerie-vent-du-nord,Distillerie Vent du Nord,"110-A Bd Comeau, Baie-Comeau, QC G4Z 3A9, Canada",,osm,unmatched,0,none,0,,,
garden-state-distillery,Garden State Distillery,,,osm,unmatched,0,none,0,,,
heritage-distilling-company,Heritage Distilling Company,,,osm,unmatched,0,none,0,,,
detroit-city-distillery-tasting-room,Detroit City Distillery - Tasting room,"2462 Riopelle St, Detroit, MI 48207, USA",MI,osm,unmatched,64.9,none,0.5,,,
kentucky-mist-distillery,Kentucky Mist Distillery,"4728 B Hwy 17 S, North Myrtle Beach, SC 29582, USA",SC,osm,unmatched,68.4,none,0.3,,,
sons-of-vancouver,Sons of Vancouver,"1431 Crown St, North Vancouver, BC V7J 1G4, Canada",,osm,unmatched,0,none,0,,,
tofino-distillery,Tofino Distillery,"681 Industrial Way Unit G, Tofino, BC V0R 2Z0, Canada",,osm,unmatched,0,none,0,,,
yoga-pants-vodkas,Yoga Pants Vodkas,,,osm,unmatched,0,none,0,,,
cussewago-creek-distillery,Cussewago Creek Distillery,"231 Chestnut St Ste 101, Meadville, PA 16335, USA",PA,osm,unmatched,51.3,none,0.0,,,
distillerie-du-saint-laurent,Distillerie du Saint-Laurent,,,osm,unmatched,0,none,0,,,
twin-valley-distillers,Twin Valley Distillers,,,osm,unmatched,0,none,0,,,
etta-place-cider,Etta Place Cider,,,osm,unmatched,0,none,0,,,
little-water-distillery,Little Water Distillery,"810 Lexington Ave. (entrance location, mailing address, 807 Baltic Ave unit b, Atlantic City, NJ 08401, USA",NJ,osm,unmatched,62.1,none,0.286,,,
westford-hills-distillery,Westford Hills Distillery,"196 Chatey Rd, Ashford, CT 06278, USA",CT,osm,unmatched,68.4,none,0.5,,,
whitefish-handcrafted-spirits,Whitefish Handcrafted Spirits,,,osm,unmatched,0,none,0,,,
black-harbour-distillers-inc,Black Harbour Distillers Inc.,"419 NS-329, Hubbards, NS B0J 1T0, Canada",,osm,unmatched,0,none,0,,,
all-points-west,All points West,"73 Tichenor St, Newark, NJ 07105, USA",NJ,osm,unmatched,51.6,none,0.0,,,
tripp-distillery,Tripp Distillery,,,osm,unmatched,0,none,0,,,
boatskeg-distilling-co,Boatskeg Distilling Co,"23 Chem. du Pont du Marais, Lower West Pubnico, NS B0W 2C0, Canada",,osm,unmatched,0,none,0,,,
red-locks-irish-whiskey,Red Locks Irish Whiskey,,,osm,unmatched,0,none,0,,,
niagara-distillery,Niagara Distillery,"4915-B Clifton Hill, Niagara Falls, ON L2G 3N5, Canada",,osm,unmatched,0,none,0,,,
true-north-distilleries,True North Distilleries,"680 Berwick Rd S #103, Qualicum Beach, BC V9K 1T3, Canada",,osm,unmatched,0,none,0,,,
junction-35-spirits-disillery,Junction 35 Spirits Disillery,"131 The Island Dr #9116, Pigeon Forge, TN 37863, USA",TN,osm,unmatched,68.8,none,0.0,,,
distillerie-cap-aux-peches,Distillerie Cap-aux-Péchés,"396 Rue Principale E, Rivière-à-Claude, QC G0E 1Z0, Canada",,osm,unmatched,0,none,0,,,
adventurous-stills,Adventurous Stills,"2125 E 5th St UNIT 102, Tempe, AZ 85288, USA",AZ,osm,unmatched,53.3,none,0.0,,,
1832-distilling,1832 Distilling,,,osm,unmatched,0,none,0,,,
montana-distillery,Montana Distillery,"115 E 3rd St, Stevensville, MT 59870, USA",MT,osm,unmatched,66.7,none,0.143,,,
cherry-river-distillerie,Cherry River Distillerie,"120 Rue des Pins, Magog, QC J1X 1W7, Canada",,osm,unmatched,0,none,0,,,
deep-blue-distilleries,Deep Blue Distilleries,"5800 Cedarbridge Way #130, Richmond, BC V6X 2A7, Canada",,osm,unmatched,0,none,0,,,
