slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba
grandaddy-mimm-s-distilling-co-the-garage,"Grandaddy Mimm's Distilling Co. ""The Garage""","415 Hwy 53 Suite 130, Dawsonville, GA 30534, USA",GA,google-places,review,84.5,name,0.0,GA-S-20012,"GRANDADDY MIMMS, LLC",Grandaddy Mimm's Distilling Co.
seven-jars-winery-and-distillery,Seven Jars Winery and Distillery,"6148-B Brookshire Blvd, Charlotte, NC 28216, USA",NC,google-places,review,83.3,name,0.429,NC-S-20030,"SEVEN JARS DISTILLERY, LLC",
missouri-ridge-distillery-brewery,Missouri Ridge Distillery & Brewery,"7000 State Hwy 248, Branson, MO 65616, USA",MO,google-places,review,77.8,name,0.429,MO-S-20028,MISSOURI RIDGE DISTILLERY LLC,Missouri Ridge Distillery
tennessee-legend-distillery-newport-hwy,Tennessee Legend Distillery - Newport Hwy,"2874 Newport Hwy, Sevierville, TN 37876, USA",TN,google-places,review,72.7,name,0.0,TN-S-20084,CRYSTAL FALLS SPIRITS GP,Tennessee Legend Distillery
tennessee-hills-distillery-bristol,Tennessee Hills Distillery - Bristol,"90 Tennessee Hills Wy, Bristol, TN 37620, USA",TN,google-places,review,78.9,name,0.0,TN-S-20023,"TENNESSEE HILLS DISTILLERY, LLC",Tennessee Hills Distillery
mystic-farm-distilling-company,Mystic Farm & Distilling Company,"1413 Stallings Rd, Durham, NC 27703, USA",NC,google-places,review,77.8,name,0.0,NC-S-20123,"M & T DISTILLING, LLC",
weldon-mills-distillery-durham,Weldon Mills Distillery Durham,"300 E Main St suite 001, Durham, NC 27701, USA",NC,google-places,review,77.4,name,0.0,NC-S-20086,"WELDON MILLS DISTILLERY, LLC",Weldon Mills Distillery
ocoee-river-distilling,Ocoee River Distilling,"307 Main St, Ducktown, TN 37326, USA",TN,google-places,review,76.2,name,0.0,TN-S-20020,"BIG RIVER DISTILLING COMPANY, LLC",Big River Distilling Company
mossback-distilling-co,Mossback Distilling Co.,"115 W Old Andrew Johnson Hwy, Jefferson City, TN 37760, USA",TN,google-places,review,76.9,name,0.0,TN-S-20107,"HDS DISTILLING CO., LLC",Heavens Door Spirits
ironclad-distillery-co,Ironclad Distillery Co.,"124 23rd St, Newport News, VA 23607, USA",VA,google-places,review,84.2,name,0.429,VA-S-20022,"IRONCLAD DISTILLERY, INC",Ironclad Distillery
brucato-l-restaurant-and-distillery,Brucato l Restaurant and Distillery,"275 S Van Ness Ave, San Francisco, CA 94103, USA",CA,google-places,review,72.7,name,0.111,CA-S-20452,INGRID CHAVARRIA,La Casita Restaurant
pinckney-bend-distillery,Pinckney Bend Distillery,"1101 Miller St, New Haven, MO 63068, USA",MO,google-places,review,70.3,name,0.429,MO-S-15013,ARTISAN SPIRITS LLC,PINCKNEY BEND DISTILLING COMPANY
old-monroe-distilling-co-formerly-stumpys-spirits,Old Monroe Distilling Co. (Formerly Stumpy’s Spirits),"8787 Rickhouse Rd, Columbia, IL 62236, USA",IL,google-places,review,72.7,name,0.167,IL-S-20020,STUMPY'S SPIRITS CO.,Old Monroe Distilling Co.
alpha-brewing-co-distillery,Alpha Brewing Co & Distillery,"4310 Fyler Ave, St. Louis, MO 63116, USA",MO,google-places,review,76.9,name,0.0,MO-S-20108,ABC DISTILLERY LLC,Alpha Brewing Company Distillery
brewing-distilling-center,Brewing & Distilling Center,"130 Bearden Pl, Knoxville, TN 37917, USA",TN,google-places,review,75.0,name,0.0,TN-S-20094,"DK BUSINESS VENTURES, LLC",Adventure Distilling Co.
napa-valley-distillery-oxbow,Napa Valley Distillery | Oxbow,"610 1st St, Napa, CA 94559, USA",CA,google-places,review,78.6,name,0.167,CA-S-15085,"NAPA VALLEY LIMONCELLO COMPANY, LLC",NAPA VALLEY DISTILLERY
colorado-mountain-distillers,Colorado Mountain Distillers,"611 Canon St, Guffey, CO 80820, USA",CO,google-places,review,73.1,name,0.0,CO-S-20048,MOBB MOUNTAIN DISTILLERS LTD,Mobb Mountain Distillers
art-of-the-spirits-distillery,Art of the Spirits Distillery,"3372 Adobe Ct Suite 110, Colorado Springs, CO 80907, USA",CO,google-places,review,73.7,name,0.0,CO-S-20088,"THE HEART DISTILLERY, LLC",The Heart Distillery
