permit_number,business_name,dba_name,street,city,state,zip,permit_type,status,issue_date
AK-S-15000,GLACIER CREEK DISTILLERY LLC,,1540 N SHORELINE DR,WASILLA,AK,99654,S,ACTIVE,
AK-S-20001,"HIGH MARK DISTILLERY, INC.",,37200 THOMAS ST,STERLING,AK,99672,S,ACTIVE,
AK-S-20002,ROBERT BORLAND,Ursa Major Distilling,3738 MARIPOSA LN,FAIRBANKS,AK,99709,S,ACTIVE,
AK-S-20003,PORT CHILKOOT DISTILLERY LLC,Port Chilkoot Distillery,35 TOTEM ST,HAINES,AK,99827,S,ACTIVE,
AK-S-20004,PATRICK LEVY,Fairbanks Distilling Company,410 CUSHMAN ST,FAIRBANKS,AK,99701,S,ACTIVE,
AK-S-20005,"BIG BEAR ENTERPRISES, LLC. URSA MAJOR DISTILLING",Ursa Major Distilling,2922 GEORGE PARKS HWY,FAIRBANKS,AK,99709,S,ACTIVE,
AK-S-20006,ANCHORAGE DISTILLERY LLC,,6310 A ST,ANCHORAGE,AK,99518,S,ACTIVE,
AK-S-20008,SKAGWAY SPIRITS LLC,Skagway Spirits LLC,941 ALASKA ST,SKAGWAY,AK,99840,S,ACTIVE,
AK-S-20009,ARCTIC HARVEST LLC,Arctic Harvest,4753 EIELSON FARM RD,NORTH POLE,AK,99705,S,ACTIVE,
AK-S-20011,AMALGA DISTILLERY LLC,,134 N FRANKLIN ST,JUNEAU,AK,99801,S,ACTIVE,
AK-S-20012,ALASKAN SPIRITS LLC,Alaska Proof,7605 KING ST STE B,ANCHORAGE,AK,99518,S,ACTIVE,
AK-S-20014,"COOK INLET DISTILLERY, LLC",,6820 ROSEWOOD ST UNIT 3,ANCHORAGE,AK,99518,S,ACTIVE,
AK-S-20015,"UNCHARTED ALASKA DISTILLERY, LLC",Uncharted Alaska Distillery,319 MAIN ST,KETCHIKAN,AK,99901,S,ACTIVE,
AK-S-20016,"ALASKAN BREWING, LLC",Alaskan Distilling Co.,5433 SHAUNE DR,JUNEAU,AK,99801,S,ACTIVE,
AK-S-20017,"ALASKAN BREWING, LLC",Alaskan Distilling Co.,5366 COMMERCIAL BLVD,JUNEAU,AK,99801,S,ACTIVE,
AK-S-20018,"MIDNIGHT SUN BREWING, LLC.",Midnight Sun Brewing,8111 DIMOND HOOK DR,ANCHORAGE,AK,99507,S,ACTIVE,
AK-S-20019,"KODIAK ISLAND BREWING COMPANY, LLC",Kodiak Island Still,117 LOWER MILL BAY RD,KODIAK,AK,99615,S,ACTIVE,
AK-S-20020,"MATANUSKA BREWING COMPANY, LLC",,513 S VALLEY WAY,PALMER,AK,99645,S,ACTIVE,
AK-S-20022,"TWISTER CREEK, INC.",Denali Spirits and Distillery,37083 S TALKEETNA SPUR RD,TALKEETNA,AK,99676,S,ACTIVE,
AK-S-20023,SITKA SPIRITS LLC,,328 LINCOLN ST,SITKA,AK,99835,S,ACTIVE,
AK-S-20024,HARBOR MOUNTAIN BREWING COMPANY LLC,Harbor Mountain Brewing Company,1209 SAWMILL CREEK RD STE A,SITKA,AK,99835,S,ACTIVE,
AK-S-20025,TRITON LLC,Legends of Alaska Lumberjack cove,7691 N TONGASS HWY STE 100,KETCHIKAN,AK,99901,S,ACTIVE,
AK-S-20026,PLAN D ENTERPRISES LLC,Seward Distilling Company,226 FIFTH AVE,SEWARD,AK,99664,S,ACTIVE,
AK-S-20027,DARK LAMB INDUSTRIES LLC,Hoarfrost Distilling,3501 LATHROP ST BLDG A STE F,FAIRBANKS,AK,99701,S,ACTIVE,
AL-S-20001,"HIGH RIDGE SPIRITS, LLC.",High Ridge Spirits LLC,1401 HUNTSVILLE RD,FLORENCE,AL,35630,S,ACTIVE,
AL-S-20002,"MAD COUNTY WINERY, LLC",,"121 CASTLE DR, NW STE D",HUNTSVILLE,AL,35758,S,ACTIVE,
AL-S-20004,"BIG ESCAMBIA SPIRITS, LLC",,1185 GOAT FEATHERS LN,ATMORE,AL,36502,S,ACTIVE,
AL-S-20005,BLUE PANTS BREWERY LLC,,500 LANIER RD BLDG 1,MADISON,AL,35758,S,ACTIVE,
AL-S-20006,"KEEL & CO. DISTILLING, INC.",,119 W CHURCH ST,HEADLAND,AL,36345,S,ACTIVE,
AL-S-20009,1185 LLC,PS Distilling Co,"3024 3RD AVE, S",BIRMINGHAM,AL,35233,S,ACTIVE,
AL-S-20010,OLD BLACK BEAR BREWING COMPANY LLC,,212 MAIN ST,MADISON,AL,35758,S,ACTIVE,
AL-S-20013,"WOLF CREEK DISTILLERIES, L.L.C.",,25020 STATE ST,ELBERTA,AL,36530,S,ACTIVE,
AL-S-20015,"STRAIGHT TO ALE BRANDS, INC.",,2610 CLINTON AVE NW,HUNTSVILLE,AL,35805,S,ACTIVE,
AL-S-20016,"SOUTHEAST WINE, LLC",YH Spirits,173 HIGHWAY 301,CALERA,AL,35040,S,ACTIVE,
AL-S-20018,"SINGIN' RIVER BREWING COMPANY, LLC",,526 E COLLEGE ST,FLORENCE,AL,35630,S,ACTIVE,
AL-S-20020,"BACK FORTY BEER COMPANY, LLC",Back Forty Beer Company,200 N 6TH ST,GADSDEN,AL,35901,S,ACTIVE,
AL-S-20023,"BAND OF BROTHERS DISTILLERY COMPANY, LLC",,1605 23RD AVE,TUSCALOOSA,AL,35401,S,ACTIVE,
AL-S-20025,"TAYLOE BEND DISTILLING COMPANY, LLC",Tayloe Bend,4425 3RD AVE S,BIRMINGHAM,AL,35222,S,ACTIVE,
AL-S-20026,"YELLOWHAMMER BREWING, INC.",,2600 CLINTON AVE W,HUNTSVILLE,AL,35805,S,ACTIVE,
AL-S-20027,"A & B DISTILLERIES, LLC",,306 HANKS RD,PIEDMONT,AL,36272,S,ACTIVE,
AL-S-20028,"MAGNOLIA SPRINGS DISTILLERY, LLC",,2802 COTTON ST,MOBILE,AL,36607,S,ACTIVE,
AL-S-20031,GUAJANA DISTILLERY LLC,Guajana Distillery,9582 MADISON BLVD STE 1-3,MADISON,AL,35758,S,ACTIVE,
AL-S-20032,"CAHABA BREWING COMPANY, LLC",CAHABA BREWING COMPANY,4500 5TH AVENUE S BLDG C,BIRMINGHAM,AL,35222,S,ACTIVE,
AL-S-20035,"PERDIDO VINEYARDS OF GEORGIA, INC.",Boogie Bottom Spirits,21889 TURBERVILLE LN,PERDIDO,AL,36562,S,ACTIVE,
AL-S-20037,MURDER CREEK DISTILLERY LLC,,102 S OWA BLVD,FOLEY,AL,36535,S,ACTIVE,
AL-S-20038,"A RIVER RUNS THROUGH IT DISTILLERY, INC.",A River Runs Through It Distillery,736 S ALABAMA AVE UNIT B,MONROEVILLE,AL,36460,S,ACTIVE,
AL-S-20039,"GOOD PEOPLE BREWING COMPANY, LLC",Good People Brewing Company,114 14TH ST S,BIRMINGHAM,AL,35233,S,ACTIVE,
AL-S-20041,"STASHHOUSE WHISKEY CO., LLC",,123 LINDSEY RD,CULLMAN,AL,35055,S,ACTIVE,
AL-S-20042,"GHOST TRAIN BREWING COMPANY, INC.",,3501 1ST AVE S,BIRMINGHAM,AL,35222,S,ACTIVE,
AL-S-20043,"THE HUNTSVILLE BREWERS COOPERATIVE, LLC",Huntsville Brewers Cooperative,3414 GOVERNORS DR SW STE 605,HUNTSVILLE,AL,35805,S,ACTIVE,
AL-S-20044,AUNTIE JENNI’S MOONSHINE INC,Auntie Jenni's Moonshine,4514 GARY AVE,FAIRFIELD,AL,35064,S,ACTIVE,
AL-S-20045,"UPROOT, LLC",Uproot Spirits,2616 3RD AVE S,BIRMINGHAM,AL,35233,S,ACTIVE,
AL-S-20046,"SWEET HOME SPIRITS, INC.",Sweet Home Spirits,8316 PARKWAY DR STE 120,LEEDS,AL,35094,S,ACTIVE,
AL-S-20047,BAMA SHINES LLC,Bama Shines,621 STAR LN,BOLIGEE,AL,35443,S,ACTIVE,
AL-S-20048,PATTERSONS PANTRY LLC,Pantry at Moon Lake Village,5866 E RIVER RD,MENTONE,AL,35984,S,ACTIVE,
AL-S-20050,OLD BLACK BEAR BREWING COMPANY LLC,Old Black Bear Brewing Company,311 S MARION ST,ATHENS,AL,35611,S,ACTIVE,
AL-S-20051,"SHINEWORX WHISKEY COMPANY, LLC",,2250 COUNTY ROAD 222,CULLMAN,AL,35057,S,ACTIVE,
AL-S-20053,MONDAY NIGHT VENTURES LLC,Monday Night Ventures,14 12TH ST S,BIRMINGHAM,AL,35233,S,ACTIVE,
AL-S-20054,CREEK BOTTOM DISTILLING LLC,,34 JEFFERSON AVE,CHATOM,AL,36518,S,ACTIVE,
AL-S-20055,OTTER CREEK DISTILLERY LLC,OTTER CREEK DISTILLERY,3169 SIX FOOT RD,OHATCHEE,AL,36721,S,ACTIVE,
AL-S-20056,GULLAGE ENTERPRISES LLC,,3930 RODEN DR NE,FORT PAYNE,AL,35967,S,ACTIVE,
AL-S-20059,EANDB LLC,Ethos Craft Brewing,1849 COUNTY ROAD 222,CULLMAN,AL,35057,S,ACTIVE,
AL-S-20061,"FOLKLORE BREWING & MEADERY, LLC",FOLKLORE BREWING & MEADERY,153 MARY LOU LN STE 3,DOTHAN,AL,36301,S,ACTIVE,
AL-S-20062,K BUG-13 LLC,KBUG13 Distilling,354 BULLDOG RD,ALTOONA,AL,35952,S,ACTIVE,
AL-S-20063,"DIAGEO AMERICAS SUPPLY, INC.",,7000 CELEBRATION WAY,HOPE HULL,AL,36043,S,ACTIVE,
AL-S-20064,"ALL GOOD MANUFACURING CO., LLC",All Good Manufacturing Co,3501 1ST AVE S,BIRMINGHAM,AL,35222,S,ACTIVE,
AL-S-20065,DRAM ALCHEMY DISTILLING LLC,,235 FOREST RD,HUEYTOWN,AL,35023,S,ACTIVE,
AL-S-20066,"SOUTHERN STILL, LLC",Southern Still,198 SHORT PIKE RD SW STE A,HUNTSVILLE,AL,35824,S,ACTIVE,
AL-S-20067,"OAK BOWERY SPIRITS, LLC",Oak Bowery Spirits,1200 & 1208 1ST AVE,OPELIKA,AL,36801,S,ACTIVE,
AL-S-20068,TRIM TAB BREWING CO. LLC,TrimTab Brewery,2721 S 5TH AVE,BIRMINGHAM,AL,35233,S,ACTIVE,
AR-S-15001,LOMBARDI LLC,LOMBARDI COMPANY,3021 E BROADWAY,NORTH LITTLE ROCK,AR,72114,S,ACTIVE,
AR-S-20001,POSTMASTER SPIRITS INC,,200 HAZEL ST,NEWPORT,AR,72112,S,ACTIVE,
AR-S-20005,FALLING ROCK LLC,Falling Rock Distillery,27377 HIGHWAY 74,HUNTSVILLE,AR,72740,S,ACTIVE,
AR-S-20006,"PERNOD RICARD USA, LLC",Pernod Ricard USA,7401 HIGHWAY 45 SOUTH S,FORT SMITH,AR,72916,S,ACTIVE,
AR-S-20007,"BRICK OVEN PIZZA COMPANY OF HARRISON, INC.",Brick & Forge Brew Works,814 HWY 62-65,HARRISON,AR,72601,S,ACTIVE,
AR-S-20010,JAMES THOMAS ABSTON,SPIRITS OF THE VALLEY,755 ADA VALLEY RD,ADONA,AR,72001,S,ACTIVE,
AR-S-20013,"SCHNEIDER ENDEAVORS, INC.",Butler Creek Distilling,4937 HIGHWAY 187,EUREKA SPRINGS,AR,72631,S,ACTIVE,
AR-S-20015,SANDRO J. LUKANOVIC,CTL Distillery Doberman Ranch,1758 WALLER RD,BEE BRANCH,AR,72013,S,ACTIVE,
AR-S-20016,Q2 SPECIALITY JUICE LLC,Mello Sips,7123 INTERSTATE 30 STE 5,LITTLE ROCK,AR,72209,S,ACTIVE,
AR-S-20017,"POINT REMOVE WINERY, LLC.",,102 S CRESTLINER ST,MORRILTON,AR,72110,S,ACTIVE,
AR-S-20018,"LOST 40 BREWERY, LLC",,510 MCLEAN ST,LITTLE ROCK,AR,72202,S,ACTIVE,
AR-S-20019,AXE AND THE OAK DISTILLERY LLC,,7900 TAYLOR AVE,FORT SMITH,AR,72916,S,ACTIVE,
AR-S-20020,FREE BEER BREWING AND DISTILLING LLC,Free Beer Brewing and Distilling,1421 E 15TH ST,FAYETTEVILLE,AR,72701,S,ACTIVE,
AR-S-20022,BETTY'S BIG COUNTRY DANCE HALL LLC,,102 CRYSTAL PALACE DR,CADDO VALLEY,AR,71923,S,ACTIVE,
AR-S-20023,COBURN STONE DISTILLERIES LLC,Coburn Stone Distilleries,2260 W CENTERTON BLVD,CENTERTON,AR,72719,S,ACTIVE,
AR-S-20024,"BUBBA BREW'S BREWING COMPANY, LLC",Bubba Brew's Brewstillery,156 S MOORE RD UNIT B,HOT SPRINGS,AR,71913,S,ACTIVE,
AR-S-20025,BROKEN SPUR DISTILLERY LLC,Broken Spur Distillery,115 SHERRILL KING DR,QUITMAN,AR,72131,S,ACTIVE,
AZ-S-15002,"ONE FIFTY, INC.",,1210 W ALAMEDA DR STE. 114,TEMPE,AZ,85282,S,ACTIVE,
AZ-S-15006,SONORAN SPIRITS LLC,,1725 W WILLIAMS DR BLDG F SU,PHOENIX,AZ,85027,S,ACTIVE,
AZ-S-15011,CASKWERKS DISTILLING CO.,,1920 E UNIVERSITY DR STE 105,TEMPE,AZ,85281,S,ACTIVE,
AZ-S-20002,LIPSMARK LLC,,5235 S KYRENE RD UNIT 18,TEMPE,AZ,85283,S,ACTIVE,
AZ-S-20005,"ARIZONA CRAFT BEVERAGE, INC.",,473 ELGIN RD,ELGIN,AZ,85611,S,ACTIVE,
AZ-S-20006,"FROSTY 3,  LLC",O.H.S.O. Eatery + Distillery,15681 N HAYDEN RD STE 112,SCOTTSDALE,AZ,85260,S,ACTIVE,
AZ-S-20007,THREE WELLS DISTILLING COMPANY,,3780 E 44TH ST STE 120,TUCSON,AZ,85713,S,ACTIVE,
AZ-S-20008,"SAN TAN BREWING COMPANY, INC.",SanTan Distilling,495 E WARNER RD,CHANDLER,AZ,85225,S,ACTIVE,
AZ-S-20009,LUCIDI DISTILLING CO LLC,,8307 W WASHINGTON ST,PEORIA,AZ,85345,S,ACTIVE,
AZ-S-20012,FRANCHISE ENTERPRISES LLC,Black Mountain Distillery,30855 N CAVE CREEK RD STE 140,PHOENIX,AZ,85331,S,ACTIVE,
AZ-S-20013,STEPHEN BECKER,Old School Distillery,6509 W FRYE RD STE 8,CHANDLER,AZ,85226,S,ACTIVE,
AZ-S-20014,THUNDER CANYON DISTILLERY LLC,Thunder Canyon Distillery,220 E BROADWAY BLVD STE B,TUCSON,AZ,85701,S,ACTIVE,
AZ-S-20016,THE INDEPENDENT DISTILLERY LLC,The Independent Distillery,30 S ARIZONA AVE,TUCSON,AZ,85701,S,ACTIVE,
AZ-S-20018,"ELEGANCE SPIRITS, LLC",Legacy Distilling,1725 W WILLIAMS DR STE 9,PHOENIX,AZ,85027,S,ACTIVE,
AZ-S-20022,COPPERTOP ALEHOUSE,,220 S MONTEZUMA ST STE B,PRESCOTT,AZ,86303,S,ACTIVE,
AZ-S-20023,"TOWN UNDER BLACK DISTILLERY, L.L.C.",,3810 E 44TH ST UNIT 307-311,TUCSON,AZ,85713,S,ACTIVE,
AZ-S-20025,"RISE DISTILLING COMPANY, LLC",,1928 E MCDOWELL RD,PHOENIX,AZ,85006,S,ACTIVE,
AZ-S-20027,"WILD HARE DISTILLERY, LLC",,5869 S KYRENE RD STE 18,TEMPE,AZ,85283,S,ACTIVE,
AZ-S-20031,FLV LLC,One Viktor Foxtrot,7825 E REDFIELD RD STE 104,SCOTTSDALE,AZ,85260,S,ACTIVE,
AZ-S-20033,"QUARTHAUS, L.L.C.",QuartHaus,201 S WASHINGTON ST BLDG B,CHANDLER,AZ,82225,S,ACTIVE,
AZ-S-20035,MPS DISTILLING LLC,MPS DISTILLING,425 S MCCLINTOCK DR STE 6,TEMPE,AZ,85281,S,ACTIVE,
AZ-S-20036,"THE PACK ATTACK, LLC",Copper Hop Ranch,5 FAIRVIEW LN,ELGIN,AZ,85611,S,ACTIVE,
AZ-S-20038,"PAGE SPRINGS CELLARS, INC.",Page Springs Cellars,1500 N PAGE SPRINGS RD,CORNVILLE,AZ,86325,S,ACTIVE,
AZ-S-20039,OLD BISBEE BREWING COMPANY LLC,Old Bisbee Distillery,10356 RIVERSIDE ST,HEREFORD,AZ,85615,S,ACTIVE,
AZ-S-20040,COLT BBQ & SPIRITS LLC,COLT BBQ & SPIRITS,2970 N PARK AVE AVE,PRESCOTT VALLEY,AZ,86314,S,ACTIVE,
AZ-S-20041,"THE CRAFTSMAN AZ, LLC",Craftsman Distillers,20469 N HAYDEN RD PAD C,SCOTTSDALE,AZ,85255,S,ACTIVE,
AZ-S-20042,C.E.O. DISTILLING LLC,CEO Distilling,4211 E ELWOOD ST STE 3,PHOENIX,AZ,85040,S,ACTIVE,
AZ-S-20043,ALL STAR SPIRITS LLC,All Star Spirits,2710 W CHEERY LYNN RD,PHOENIX,AZ,85017,S,ACTIVE,
AZ-S-20044,AZ HEALTH SUPPLY LC,U.S. Distillery,400 N MAIN ST,ELOY,AZ,85131,S,ACTIVE,
AZ-S-20045,SPHEREX LLC,SphereX Distillery,3780 E 44TH ST STE 116,TUCSON,AZ,85713,S,ACTIVE,
AZ-S-20048,"SBF DSP, LLC",San Bartolo Farms,7902 N GLEN HARBOR BLVD STE 6,GLENDALE,AZ,85307,S,ACTIVE,
AZ-S-20049,MARK ANTHONY BREWING INC.,"Rey Azul Tequila Co., Lazy Pour Cocktail Co., and Mark Anthony Crafted Spirits",9601 N REEMS RD,WADDELL,AZ,85355,S,ACTIVE,
AZ-S-20050,"HAMILTON DISTILLERS GROUP, INC.",Whiskey Del Bac,2106 N FORBES BLVD STE 103,TUCSON,AZ,85745,S,ACTIVE,
AZ-S-20051,TURQUOISE SKY LLC,,310 S 4TH ST UNIT 102,PHOENIX,AZ,85004,S,ACTIVE,
AZ-S-20052,REVILO DISTILLERY LLC,Revilo Distillery LLC,226 W VAUGHN ST,TEMPE,AZ,85283,S,ACTIVE,
AZ-S-20054,"GRAND CANYON DISTILLERY, LLC",Cruisers Route 66 Cafe,233 W ROUTE 66,WILLIAMS,AZ,86046,S,ACTIVE,
AZ-S-20055,"AGUA DE VITA DISTILLERY, LLC","Agua De Vita Distillery, LLC",9034 E CAMINO ABRL,TUSCON,AZ,85747,S,ACTIVE,
AZ-S-20056,FATA LLC,,11803 N SAGUARO BLVD STE 9,FOUNTAIN HILLS,AZ,85268,S,ACTIVE,
AZ-S-20057,REFRESCO BEVERAGES US INC.,,7303 S KYRENE RD,TEMPE,AZ,85283,S,ACTIVE,
AZ-S-20058,"CHELLY, INC.",CHELLY,2618 W FIRST ST UNIT 11,TEMPE,AZ,85281,S,ACTIVE,
AZ-S-20059,SHORT CREEK SPIRITS LLC,Short Creek Spirits,70 W TOWNSHIP AVE,COLORADO CITY,AZ,86021,S,ACTIVE,
AZ-S-20060,"LAND TRUST VENTURES, INC.",LEVEL UP SPIRITS,15206 N CAVE CREEK RD STE 15258-60,PHOENIX,AZ,85032,S,ACTIVE,
AZ-S-20061,COPPER CITY SPIRITS LLC,Arizona Distilling Co.,155 W MAIN ST,MESA,AZ,85201,S,ACTIVE,
AZ-S-20062,"AMERICAN PREMIUM VODKA, LLC",American Premium Vodka,2663 W LONE CACTUS DR UNIT E,PHOENIX,AZ,85027,S,ACTIVE,
AZ-S-20063,1 HB LLC,1 HB,7042 E INDIAN SCHOOL RD,SCOTTSDALE,AZ,85251,S,ACTIVE,
AZ-S-20064,YAVAPAI COLLEGE,,601 BLACK HILLS DR BLDG O,CLARKDALE,AZ,86324,S,ACTIVE,
AZ-S-20065,GRANITE MOUNTAIN DISTILLERY LLC,Granite Mountain Distillery,400 N WASHINGTON AVE,PRESCOTT,AZ,86301,S,ACTIVE,
AZ-S-20066,DESERT BOTANICAL DISTILLERY LLC,Desert Botanical Distillery,1746 E MADISON ST STE 1,PHOENIX,AZ,85034,S,ACTIVE,
AZ-S-20067,"MUDSHARK PIZZA, INC.",Mudshark Distillery,1095 AVIATION DRIVE,LAKE HAVASU CITY,AZ,86403,S,ACTIVE,
AZ-S-20068,"OUTLAW DISTILLERY AZ, LLC",Outlaw Distillery,2125 E 5TH ST STE 102,TEMPE,AZ,85288,S,ACTIVE,
AZ-S-20069,"LORD BRANDS, LLC",Vision Distilling,14425 N 79TH ST STE D,SCOTTSDALE,AZ,85260,S,ACTIVE,
AZ-S-20070,"CEO DISTILLING II, LLC",CEO Distilling II,4202 E ELWOOD ST STE 10,PHOENIX,AZ,85040,S,ACTIVE,
AZ-S-20072,MONSTER BREWING COMPANY LLC,,1635 S 43 AVE,PHOENIX,AZ,85009,S,ACTIVE,
AZ-S-20073,"DOUBLE KILO, LLC",Saint Isidore Vineyards,3465 E FAWN RANCH RD,PEARCE,AZ,85625,S,ACTIVE,
AZ-S-20074,"ARIZONA WINERIES, LLC",,8401 BELL RANCH RD,WILLCOX,AZ,85643,S,ACTIVE,
AZ-S-20075,"CADUCEUS CELLARS, LLC",Caduceus Cellars,760 N VERDE HEIGHTS DR,COTTONWOOD,AZ,86326,S,ACTIVE,
AZ-S-20076,"MERKIN ENTERPRISES, INC.",Merkin Vineyards,770 N VERDE HEIGHTS DR,COTTONWOOD,AZ,86326,S,ACTIVE,
AZ-S-20077,HAPPY JACK DISTILLERS LLC,,6710 W CHICAGO ST STE 5,CHANDLER,AZ,85226,S,ACTIVE,
AZ-S-20078,"SPEC ENTERPRISE, LLC",Spec Enterprise,75 W BASELINE RD STE 40,GILBERT,AZ,85233,S,ACTIVE,
AZ-S-20079,PALMERI DISTILLERY LLC,Palmeri Distillery,841 E BEECHCRAFT BLVD,BISBEE,AZ,85603,S,ACTIVE,
AZ-S-20080,WILLIAM JOHNSON,William Johnson,8625 KIRA LANE BLDG 3,FLAGSTAFF,AZ,86004,S,ACTIVE,
CA-S-125,GIUMARRA VINEYARDS CORPORATION,,11220 EDISON HWY,EDISON,CA,93220,S,ACTIVE,
CA-S-135,VIE-DEL COMPANY,,11903 S CHESTNUT AVE,FRESNO,CA,93725,S,ACTIVE,
CA-S-15000,"SKYROCKET DISTILLERS, LLC",,44075 SANDIA CREEK DR,TEMECULA,CA,92590,S,ACTIVE,
CA-S-15007,HALTER WINERY LLC,HALTER WINERY,8910 ADELAIDA RD,PASO ROBLES,CA,93446,S,ACTIVE,
CA-S-15008,"SAVANNAH-CHANELLE VINEYARDS, INC.",,23600 CONGRESS SPRINGS RD,SARATOGA,CA,95070,S,ACTIVE,
CA-S-15009,"MARIAN TRADING, LTD.",MARIAN FARMS,2305 N ROLINDA AVE,FRESNO,CA,93722,S,ACTIVE,
CA-S-15010,STAGLIN FAMILY VINEYARD LLC,,1570 BELLA OAKS LN,RUTHERFORD,CA,94573,S,ACTIVE,
CA-S-15014,"GREENWAY DISTILLERS, INC",,1110 BEL ARBRES DR STE D,REDWOOD VALLEY,CA,95470,S,ACTIVE,
CA-S-15019,"ST. SUPERY, INC.",ST. SUPERY VINEYARDS & WINERY,8440 ST HELENA HWY,RUTHERFORD,CA,94573,S,ACTIVE,
CA-S-15020,"LAVA SPRINGS, INC.",,2221 FRUITRIDGE RD,PLACERVILLE,CA,95667,S,ACTIVE,
CA-S-15022,"SPOTTSWOODE WINERY, INC.",,1902 MADRONA AVE,SAINT HELENA,CA,94574,S,ACTIVE,
CA-S-15023,G. ROTTIE ENTERTAINMENT INC.,G.V. THREE INTERNATIONAL,3822 W 139TH ST 20,HAWTHORNE,CA,90250,S,ACTIVE,
CA-S-15028,TREANA WINERY LLC,TREANA WINERY,4280 SECONDWIND WAY,PASO ROBLES,CA,93447,S,ACTIVE,
CA-S-15031,CASTORO CELLARS,,6465 VON DOLLEN RD,SAN MIGUEL,CA,93451,S,ACTIVE,
CA-S-15036,SCHEID VINEYARDS CALIFORNIA INC.,,1972 HOBSON AVE,GREENFIELD,CA,93927,S,ACTIVE,
CA-S-15039,HAHN ESTATE,,37700 FOOTHILL RD,SOLEDAD,CA,93960,S,ACTIVE,
CA-S-15042,"STAG'S LEAP WINE CELLARS, LLC",STAG'S LEAP WINE CELLARS,5766 SILVERADO TRL,NAPA,CA,94558,S,ACTIVE,
CA-S-15050,JVW CORPORATION,JORDAN VINEYARD & WINERY,1474 ALEXANDER VALLEY RD,HEALDSBURG,CA,95448,S,ACTIVE,
CA-S-15051,"VILLA TOSCANO, INC.",VILLA TOSCANO,10600 SHENANDOAH RD,PLYMOUTH,CA,95669,S,ACTIVE,
CA-S-15055,CAKEBREAD CELLARS,,8300 ST HELENA HWY,RUTHERFORD,CA,94573,S,ACTIVE,
CA-S-15059,"PELLEGRINI BROS. WINES, INC.",PELLEGRINI FAMILY VINEYARDS,4055 W OLIVET RD,SANTA ROSA,CA,95401,S,ACTIVE,
CA-S-15060,"BRASSFIELD ESTATE WINERY, LLC",BRASSFIELD ESTATE WINERY,10915 HIGH VALLEY RD,CLEARLAKE OAKS,CA,95423,S,ACTIVE,
CA-S-15064,"THE AGRICULTURAL FOUNDATION OF CALIFORNIA STATE UNIVERSITY, FRESNO",FRESNO STATE VINEYARDS,2360 E BARSTOW AVE,FRESNO,CA,93740,S,ACTIVE,
CA-S-15070,THE WINE GROUP LLC,ALMADEN-MADERA,22004 ROAD 24,MADERA,CA,93638,S,ACTIVE,
CA-S-15071,CEDAR RIDGE APPLE RANCH LLC,,14679 SUMMERS LN,SONORA,CA,95370,S,ACTIVE,
CA-S-15076,"LAGUNA OAKS VINEYARDS & WINERY, INC.",BALLETTO VINEYARDS,5700 OCCIDENTAL RD,SANTA ROSA,CA,95401,S,ACTIVE,
CA-S-15077,"STONECUSHION, INC.",JEPSON VINEYARDS,10400 S HIGHWAY 101,HOPLAND,CA,95449,S,ACTIVE,
CA-S-15081,HELLOCELLO LLC,,21877 EIGHT ST #4,SONOMA,CA,95476,S,ACTIVE,
CA-S-15082,OLD WORLD SPIRITS L.L.C.,Old World Spirits,12595 WATSONVILLE RD,MORGAN HILL,CA,95037,S,ACTIVE,
CA-S-15086,GERARDO DONATO IULIANO,LA BORGATA,7539 PLEASANTS VALLEY RD,VACAVILLE,CA,95688,S,ACTIVE,
CA-S-15087,"TPWC, INC.","Quarry Lake Winery, Sonoma",26200 ARNOLD DR,SONOMA,CA,95476,S,ACTIVE,
CA-S-15088,"DOMAINE CARNEROS, LTD.",DOMAINE CARNEROS,1240 DUHIG ROAD,NAPA,CA,94559,S,ACTIVE,
CA-S-15090,COLD COCKED BEVERAGES LLC,COLD COCKED BEVERAGE COMPANY,2020 DENNISON ST STE 11,OAKLAND,CA,94606,S,ACTIVE,
CA-S-15091,"TAMAR DISTILLERY, INC.",AMERICAN CRAFT WHISKEY DISTILLERY,1110 BEL ARBRES DR #D,REDWOOD VALLEY,CA,95470,S,ACTIVE,
CA-S-15095,CALIFORNIA NATURAL PRODUCTS,,1250 E LATHROP RD,LATHROP,CA,95330,S,ACTIVE,
CA-S-15097,"AMERICAN WINESECRETS, LLC",WINESECRETS,1446 INDUSTRIAL AVE WHSE 2,SEBASTOPOL,CA,95472,S,ACTIVE,
CA-S-15098,"CORNING & COMPANY DISTILLERS, LLC","Corning & Company Distillers, LLC",5535 STATE FARM DR,ROHNERT PARK,CA,94928,S,ACTIVE,
CA-S-15102,DA VE WINERY INC.,FIOR DI SOLE,2515 NAPA VALLEY CORPORATE DR,NAPA,CA,94558,S,ACTIVE,
CA-S-15106,MAVRIK NORTH AMERICA LLC,,345 TESCONI CIR,SANTA ROSA,CA,95401,S,ACTIVE,
CA-S-15107,"TAHOE MOONSHINE DISTILLERY, INC.",TAHOE MOONSHINE DISTILLERY,1611 SHOP ST 4B,SOUTH LAKE TAHOE,CA,96150,S,ACTIVE,
CA-S-15110,"EAFD, LLC",,1545 W 134TH ST,GARDENA,CA,90249,S,ACTIVE,
CA-S-15112,"LITCO LUMBER, INC.",LITCO BEVERAGES,6601 MERCHANDISE WAY UNIT C,DIAMOND SPRINGS,CA,95619,S,ACTIVE,
